id,category,title_en,amazon_asin,image_url,image_source,status,alt_text
"ORDER-371026","mobile","Pro USB-C Hub Adapter","B0F8FB3ZB6","https://m.media-amazon.com/images/I/61PHPI8YDOL._AC_UL960_QL65_.jpg","search","ready","AUNAN Magnetic Power Bank 20000mAh, Portable Charger 22.5W Fast Charging, Wireless Charger with 3 Built-in Cables, LCD Dis..."
"ORDER-371027","mobile","Pro Smart Watch Strap Set","B0F48HV99S","https://m.media-amazon.com/images/I/514qt0t3YSL._AC_UL960_QL65_.jpg","search","ready","UGREEN MagSafe Power Bank 5000mAh Ultra-Slim Qi2 15W Wireless Charging | Magflow Air, 8.8mm ultra-slim, smart power distri..."
"ORDER-371028","mobile","Pro Rugged Phone Case Bundle","B0DGGKSV1X","https://m.media-amazon.com/images/I/61r+znrv+tL._AC_SL1500_.jpg","detail","ready","Pro Rugged Phone Case Bundle"
"ORDER-371029","mobile","Pro 3-in-1 Wireless Charging Stand","B0DSZKKJTK","https://m.media-amazon.com/images/I/61j96UQ0VYL._AC_UL960_QL65_.jpg","search","ready","Anker Zolo Power Bank (2025 Upgraded Version), 45W Max Fast Charging, 20,000mAh Battery Pack, Dual Built-in USB-C Cables, ..."
"ORDER-371030","mobile","Pro Bluetooth Tracking Tag Pack","B0F37QGJHP","https://m.media-amazon.com/images/I/51jayclDVhL._AC_UL960_QL65_.jpg","search","ready","UGREEN 10000mAh Slim Power Bank Magsafe Qi2 15W Built-in USB-C Cable, Blue | 13.9mm slim, 30W two-way fast charge, built-i..."
"ORDER-371031","mobile","Compact MagSafe Power Bank Set","B0CXHRNVNW","https://m.media-amazon.com/images/I/61lNFPw47eL._AC_UL960_QL65_.jpg","search","ready","UGREEN Mini Power Bank, 5000mAh with Built-In 3.77mm Long USB C Connector | SCP 22.5W Fast Charging, pocket-sized, chargin..."
"ORDER-371032","mobile","Compact 65W GaN Fast Charger Kit","B0DQDBR8QQ","https://m.media-amazon.com/images/I/51Rzzf2GnUL._AC_UL960_QL65_.jpg","search","ready","UGREEN 10000mAh Power Bank 30W with 3 Ports (2*USB-C and USB-A) Portable Battery, Digital Display, Fast Charging Portable ..."
"ORDER-371033","mobile","Compact Wireless Earbuds Retail Pack","B0C93TL5BX","https://m.media-amazon.com/images/I/71SM5pbPmIL._AC_UL960_QL65_.jpg","search","ready","Baseus Magnetic 15W Wireless Portable Charger, 10000mAh Power Bank with 20W Type C Cable, MagSafe Battery Pack for iPhone ..."
"ORDER-371034","mobile","Compact Privacy Screen Protector Bundle","B09RKFMM5F","https://m.media-amazon.com/images/I/51x0PccrGtL._AC_UL960_QL65_.jpg","search","ready","Lazor Speed Pro 20000Mah Power Bank Pb76 Ultra Slim Design | 22.5W Fully Compatible Fast Charging Pd+Qc Type-C & Micro Usb..."
"ORDER-371035","mobile","Compact Magnetic Car Phone Mount","B09FVHB15T","https://m.media-amazon.com/images/I/512+MreCBgL._AC_UL960_QL65_.jpg","search","ready","Olsenmark 10000mAh Power Bank Portable Fast Charger with Dual USB Ports & LED Battery Display, Black, OMPB1820"
"ORDER-371036","mobile","Compact USB-C Hub Adapter","B0DN26GV6P","https://m.media-amazon.com/images/I/41tixg2VKXL._AC_UL960_QL65_.jpg","search","ready","Xiaomi 33W Power Bank with Integrated Cable - 10,000mAh | 33 W fast charging via USB-C cable, 10000 mAh compact. Charges 3..."
"ORDER-371037","mobile","Compact Smart Watch Strap Set","B0G5F48M35","https://m.media-amazon.com/images/I/71SZ+g1m3nL._AC_UL960_QL65_.jpg","search","ready","Powerology Qi2 5000mAh Ultra-Thin Magnetic Power Bank, 15W Wireless Portable Fast Charger for Mobile Phones, PD 20W Type-C..."
"ORDER-371038","mobile","Compact Rugged Phone Case Bundle","B0GJ3K11MK","https://m.media-amazon.com/images/I/411GDn60BQL._AC_SL1500_.jpg","detail","ready","Compact Rugged Phone Case Bundle"
"ORDER-371039","mobile","Compact 3-in-1 Wireless Charging Stand","B08M3NF5KW","https://m.media-amazon.com/images/I/71EJPy2u+BL._AC_UL960_QL65_.jpg","search","ready","ACMIC Power Bank 10000mAh, Portable Charger PD QC 3.0 18W Fast Charging USB C Slim Battery Pack External Phone Battery for..."
"ORDER-371040","mobile","Compact Bluetooth Tracking Tag Pack","B08861XCML","https://m.media-amazon.com/images/I/41KwSkVveeL._AC_UL960_QL65_.jpg","search","ready","Xiaomi Redmi 18W Fast Charge Power Bank 20000mAh Black"
"ORDER-371041","mobile","Premium MagSafe Power Bank Set","B0F48YTC8V","https://m.media-amazon.com/images/I/61uPwsry-tL._AC_UL960_QL65_.jpg","search","ready","Green Lion Rome Series 20000mAh Power Bank, Fast Charging Portable Charger Battery Pack with USB-C & USB-A Ports, Eco-Frie..."
"ORDER-371042","mobile","Premium 65W GaN Fast Charger Kit","B0BYNYBTYK","https://m.media-amazon.com/images/I/61CSWA8xO8L._AC_UL960_QL65_.jpg","search","ready","Anker Power Bank, 533 Power Bank (PowerCore 30W), Power IQ 3.0 Portable Charger with PD 30W Max Output, 10,000mAh Battery ..."
"ORDER-371043","mobile","Premium Wireless Earbuds Retail Pack","B0F6LGCRFW","https://m.media-amazon.com/images/I/51gUlXgAVDL._AC_UL960_QL65_.jpg","search","ready","Magnetic Power Bank 12000mAh for MagSafe，Wireless Portable Charger 22.5W | QC4.0 PD20W， USB C Output Powerbank，Fast Chargi..."
"ORDER-371044","mobile","Premium Privacy Screen Protector Bundle","B0F98H2B53","https://m.media-amazon.com/images/I/51+lprnY91L._AC_UL960_QL65_.jpg","search","ready","Anker Zolo Power Bank, 20k, 22.5W Max, USB-C In and Out Fast Charging Battery Pack, Slim Travel Essential Phone Power Ban..."
"ORDER-371045","mobile","Premium Magnetic Car Phone Mount","B0GPXS51KD","https://m.media-amazon.com/images/I/51EcjyqpAJL._AC_UL960_QL65_.jpg","search","ready","Belkin BoostCharge 5000mAh Magnetic Power Bank with Magnetic Ring - Sand | 5K Portable Wireless Charger, Magnetic Ring for..."
"ORDER-371046","mobile","Premium USB-C Hub Adapter","B0GDWDXS79","https://m.media-amazon.com/images/I/61Gbue8IZ+L._AC_UL960_QL65_.jpg","search","ready","for Magsafe Power Bank 10000mAh,Wireless Portable Charger with led Display | Magnetic powerbank Built in USB-C&Lightning C..."
"ORDER-371047","mobile","Premium Smart Watch Strap Set","B0D4MDHB21","https://m.media-amazon.com/images/I/71HGJsVTdYL._AC_SL1500_.jpg","detail","ready","Premium Smart Watch Strap Set"
"ORDER-371048","mobile","Premium Rugged Phone Case Bundle","B0DN26M81Y","https://m.media-amazon.com/images/I/516j1GhaTAL._AC_UL960_QL65_.jpg","search","ready","Xiaomi 33W Power Bank 10000mAh (Integrated Cable) Tan GL | 33 W fast charging via USB-C cable, 10000 mAh compact. Charges ..."
"ORDER-371049","mobile","Premium 3-in-1 Wireless Charging Stand","B0BMD1NMQ4","https://m.media-amazon.com/images/I/61NjLBIXfaL._AC_UL960_QL65_.jpg","search","ready","Powerology 8x10000mAh Power Bank Station, Compatible with MagSafe With Dual USB-C + Dual USB-A Output Ports, Built-In Type..."
"ORDER-371050","mobile","Premium Bluetooth Tracking Tag Pack","B0FJR63WW4","https://m.media-amazon.com/images/I/510dZUE-PcL._AC_UL960_QL65_.jpg","search","ready","UGREEN Power Bank 25000mAh 200W Fast Portable Charger for Dual Laptops | Nexode Pro,flight-safe, 200W total output, built-..."
"ORDER-371051","mobile","Travel MagSafe Power Bank Set","B0FQVTHSC3","https://m.media-amazon.com/images/I/61ieVpQGETL._AC_UL960_QL65_.jpg","search","ready","CUKTECH 10 Plus 15000mAh 90W CCC Power Bank with Smart Digital Display | Fast Portable Charger, Compatible with MacBook, i..."
"ORDER-371052","mobile","Travel 65W GaN Fast Charger Kit","B0DZXDMXNJ","https://m.media-amazon.com/images/I/61pQ984GXRL._AC_SL1500_.jpg","detail","ready","Travel 65W GaN Fast Charger Kit"
"ORDER-371053","mobile","Travel Wireless Earbuds Retail Pack","B0CZXJHQQ4","https://m.media-amazon.com/images/I/51mm+zqNSrL._AC_SL1500_.jpg","detail","ready","Travel Wireless Earbuds Retail Pack"
"ORDER-371054","mobile","Travel Privacy Screen Protector Bundle","B0D6GMFV56","https://m.media-amazon.com/images/I/31aS4TDQ2WL._AC_UL960_QL65_.jpg","search","ready","Elexeries 10000mAh Power Bank – Fast Charging Portable Charger with Built-In Cables, Light, and Digital Display (WHITE)"
"ORDER-371055","mobile","Travel Magnetic Car Phone Mount","B0G7GX2M71","https://m.media-amazon.com/images/I/61oNNEOGQsL._AC_UL960_QL65_.jpg","search","ready","CUKTECH CP24 20000mAh 40W CCC Power Bank with Built-In Dual Cables | Certified Fast Charger, Smart Digital Display, Compat..."
"ORDER-371056","mobile","Travel USB-C Hub Adapter","B0BKLJS7CD","https://m.media-amazon.com/images/I/71BJpsiUYAL._AC_UL960_QL65_.jpg","search","ready","Energizer Eveready Fast Charger Portable Power Bank Mini 10000mAh - Compact Battery w/Charge Indicator, 1x USB-C, 1x Micro..."
"ORDER-371057","mobile","Travel Smart Watch Strap Set","B08LN1YV1X","https://m.media-amazon.com/images/I/61ty5Bk1XDL._AC_UL960_QL65_.jpg","search","ready","Xiaomi - 20000mAh Redmi Power Bank, Fast Charging, 18W Two-Way Fast Charging, Dual Input and Output Ports, 74Wh High Capac..."
"ORDER-371058","mobile","Travel Rugged Phone Case Bundle","B0CTQ8LPTY","https://m.media-amazon.com/images/I/61oi--VreuL._AC_UL960_QL65_.jpg","search","ready","Small Power Bank with 10000 mAh Fast Charging 22.5 W Portable Mini USB-C Charger with Battery Pack Compact External Batter..."
"ORDER-371059","mobile","Travel 3-in-1 Wireless Charging Stand","B0GCN5LXQC","https://m.media-amazon.com/images/I/61FdlaPh2KL._AC_SL1500_.jpg","detail","ready","Travel 3-in-1 Wireless Charging Stand"
"ORDER-371060","mobile","Travel Bluetooth Tracking Tag Pack","B0G43FHH3T","https://m.media-amazon.com/images/I/71NnowfLzdL._AC_SL1500_.jpg","detail","ready","Travel Bluetooth Tracking Tag Pack"
"ORDER-371061","fashion","Retail Premium Modest Wear Set","B0CG1BDZVQ","https://m.media-amazon.com/images/I/61GWVNPed5L._AC_UL960_QL65_.jpg","search","ready","Styleville.in Women Arabic wear abaya with Hiajb"
"ORDER-371062","fashion","Retail Breathable Abaya Collection","B09WMFKT5G","https://m.media-amazon.com/images/I/41SkL9H0ZDL._AC_UL960_QL65_.jpg","search","ready","Abayas for Women Muslim Dubai Dress Solid Loose Fit Long Cardigan Islamic Kaftan Robe Open Front Maxi Length"
"ORDER-371063","fashion","Retail Men's Business Thobe Pack","B07T2J3TC4","https://m.media-amazon.com/images/I/615nmQTnxnL._AC_UL960_QL65_.jpg","search","ready","Nukhbaa Womens Premium Abaya Made With Fine Fabric, Comes With Matching Hijab AJ721A Traditional (pack of 5)"
"ORDER-371064","fashion","Retail Luxury Hijab Bundle","B0DQVRW9FM","https://m.media-amazon.com/images/I/51aTmfUJ5qL._AC_UL960_QL65_.jpg","search","ready","Rahma Women's Traditional open Abaya with Wide Sleeves and a Headscarf, Premium Nida Fabric, Black"
"ORDER-371065","fashion","Retail Kaftan Lounge Set","B0GNTBJ49Q","https://m.media-amazon.com/images/I/315RcF87QYL._AC_UL960_QL65_.jpg","search","ready","MA premium CEY Inner abaya ladies long modest maxi dress causal/formal under abaya (jalabiya) relaxed soft body touch brea..."
"ORDER-371066","fashion","Retail Modest Activewear Set","B0GGGPT741","https://m.media-amazon.com/images/I/51d3a3ht5HL._AC_UL960_QL65_.jpg","search","ready","Lenmipot Women Abaya Dress with Attached Headscarf Prayer Clothes for Women Fashion Eid Dress Ruffled Cuffs Abaya"
"ORDER-371067","fashion","Retail Family Eid Outfit Pack","B0DHPVZ8WL","https://m.media-amazon.com/images/I/51vrrWakIcL._AC_UL960_QL65_.jpg","search","ready","Nukhbaa Mid Grey color Abaya with Inner dress- 2pcs set-602C51"
"ORDER-371068","fashion","Retail Men's Sandal Retail Set","B0C81VV6CC","https://m.media-amazon.com/images/I/51BA+CBDJGL._AC_UL960_QL65_.jpg","search","ready","Styleville.in Black Solid Abaya with hijab for women"
"ORDER-371069","fashion","Retail Women's Tote & Scarf Set","B0H5C4ND89","https://m.media-amazon.com/images/I/51onfuX9-IL._AC_UL960_QL65_.jpg","search","ready","Three Piece Islamic prayer dress for women with sleeve, Prayer Clothes for Muslim Women, Prayer Abaya For girls, Jilbab 3 ..."
"ORDER-371070","fashion","Retail Premium Prayer Wear Set","B0F63BH917","https://m.media-amazon.com/images/I/414rcp7M9rL._AC_UL960_QL65_.jpg","search","ready","Women’s Abaya with Hijab | Embroidered Long Sleeve Maxi Dress | Modest Islamic Clothing for Women | Poly Crepe Muslim Pray..."
"ORDER-371071","fashion","Pro Premium Modest Wear Set","B0GHBB2VSP","https://m.media-amazon.com/images/I/61ZmpK0GVjL._AC_UL960_QL65_.jpg","search","ready","Rahma Stylish Premium Nida Fabric Abaya, Open Front with Wide Sleeves and headscarf for women and young girls"
"ORDER-371072","fashion","Pro Breathable Abaya Collection","B0GXH8J97D","https://m.media-amazon.com/images/I/51DJ5aTQ-EL._AC_UL960_QL65_.jpg","search","ready","MA premium CEY Inner abaya ladies long modest maxi dress causal/formal under abaya (jalabiya) relaxed soft body touch brea..."
"ORDER-371073","fashion","Pro Men's Business Thobe Pack","B0C81WQQ6Z","https://m.media-amazon.com/images/I/51sOazWbzRL._AC_UL960_QL65_.jpg","search","ready","Plain Women's Abaya with Hijab"
"ORDER-371074","fashion","Pro Luxury Hijab Bundle","B084R1CKVG","https://m.media-amazon.com/images/I/71gcE8K8IaL._AC_UL960_QL65_.jpg","search","ready","Nukhbaa Women's Abaya, Black"
"ORDER-371075","fashion","Pro Kaftan Lounge Set","B0F63DSL3V","https://m.media-amazon.com/images/I/41TyxArEbRL._AC_UL960_QL65_.jpg","search","ready","Women’s Abaya with Hijab | Embroidered Long Sleeve Maxi Dress | Modest Islamic Clothing for Women | Poly Crepe Muslim Pray..."
"ORDER-371076","fashion","Pro Modest Activewear Set","B0GJFQPKDC","https://m.media-amazon.com/images/I/61PEzm59HmL._AC_UL960_QL65_.jpg","search","ready","Rahma Stylish Premium Nida Fabric Abaya, Open Front with Wide Sleeves and headscarf for women and young girls"
"ORDER-371077","fashion","Pro Family Eid Outfit Pack","B0CM9C1FN4","https://m.media-amazon.com/images/I/41xXPSUVpML._AC_UL960_QL65_.jpg","search","ready","FYMNSI womens 66201amazon_lxqnus Soft"
"ORDER-371078","fashion","Pro Men's Sandal Retail Set","B0C3XCYKGQ","https://m.media-amazon.com/images/I/51t3c9kyG+L._AC_SL1200_.jpg","detail","ready","Pro Men's Sandal Retail Set"
"ORDER-371079","fashion","Pro Women's Tote & Scarf Set","B0CPSVB1S4","https://m.media-amazon.com/images/I/61L49o2CyjL._AC_UL960_QL65_.jpg","search","ready","khalat womens Loriya Dress (pack of 1)"
"ORDER-371080","fashion","Pro Premium Prayer Wear Set","B0GXHBMYRL","https://m.media-amazon.com/images/I/61QliAwaRxL._AC_UL960_QL65_.jpg","search","ready","MA premium CEY Inner abaya ladies long modest maxi dress causal/formal under abaya (jalabiya) relaxed soft body touch brea..."
"ORDER-371081","fashion","Compact Premium Modest Wear Set","B0F665HYD8","https://m.media-amazon.com/images/I/51DFeChTI0L._AC_SL1440_.jpg","detail","ready","Compact Premium Modest Wear Set"
"ORDER-371082","fashion","Compact Breathable Abaya Collection","B084R1JSLG","https://m.media-amazon.com/images/I/8120ZQa1FbL._AC_UL960_QL65_.jpg","search","ready","Nukhbaa Women's Abaya, Beige"
"ORDER-371083","fashion","Compact Men's Business Thobe Pack","B0F2T8VSK2","https://m.media-amazon.com/images/I/41CfmLmCAeL._AC_UL960_QL65_.jpg","search","ready","Women's Two-Piece Islamic Prayer Dress – Jilbab Abaya Set, Modest Prayer Outfit for Muslim Women, Umrah & Ramadan Essentials"
"ORDER-371084","fashion","Compact Luxury Hijab Bundle","B0FT4238X1","https://m.media-amazon.com/images/I/61BpoKuCnpL._AC_SL1500_.jpg","detail","ready","Compact Luxury Hijab Bundle"
"ORDER-371085","fashion","Compact Kaftan Lounge Set","B0B4PTBCQ9","https://m.media-amazon.com/images/I/51-hfMr5lzL._AC_UL960_QL65_.jpg","search","ready","Nukhbaa Premium Abaya-AJ220609A-P"
"ORDER-371086","fashion","Compact Modest Activewear Set","B0H65KWVHF","https://m.media-amazon.com/images/I/417mCcAownL._AC_SL1080_.jpg","detail","ready","Compact Modest Activewear Set"
"ORDER-371087","fashion","Compact Family Eid Outfit Pack","B0CDGY7B6R","https://m.media-amazon.com/images/I/51oclXAnsaL._AC_UL960_QL65_.jpg","search","ready","Styleville.in Women Arabic wear abaya with Hiajb"
"ORDER-371088","fashion","Compact Men's Sandal Retail Set","B0DHPWX18B","https://m.media-amazon.com/images/I/41jJPUjBOVL._AC_UL960_QL65_.jpg","search","ready","Nukhbaa Coffee color Abaya with Inner dress- 2pcs set-602C21"
"ORDER-371089","fashion","Compact Women's Tote & Scarf Set","B0F5QGKT42","https://m.media-amazon.com/images/I/41HRtM94G6L._AC_UL960_QL65_.jpg","search","ready","Elegant Women's Abayas with Hijab | Embroidered Abayas with Hijab | Modest Islamic Clothing | Cover Up Women's Islamic Dress"
"ORDER-371090","fashion","Compact Premium Prayer Wear Set","B0FT1BH9JY","https://m.media-amazon.com/images/I/61hdYUYyHtL._AC_UL960_QL65_.jpg","search","ready","Rahma Stylish Premium Nida Fabric Abaya, Open Front with Wide Sleeves and headscarf for women and young girls"
"ORDER-371091","fashion","Premium Premium Modest Wear Set","B07T1L2ZFK","https://m.media-amazon.com/images/I/61qicHpiaNL._AC_UL960_QL65_.jpg","search","ready","Nukhbaa Womens Abaya Made With Fine Fabric, Comes With Matching Hijab SB177A Modern (pack of 5)"
"ORDER-371092","fashion","Premium Breathable Abaya Collection","B0GNT86CHL","https://m.media-amazon.com/images/I/31vGt5yCA-L._AC_UL960_QL65_.jpg","search","ready","MA premium CEY Inner abaya ladies long modest maxi dress causal/formal under abaya (jalabiya) relaxed soft body touch brea..."
"ORDER-371093","fashion","Premium Men's Business Thobe Pack","B0CDHBRHZM","https://m.media-amazon.com/images/I/91ewoPmW4NL._AC_SL1500_.jpg","detail","ready","Premium Men's Business Thobe Pack"
"ORDER-371094","fashion","Premium Luxury Hijab Bundle","B0F5NWS1G5","https://m.media-amazon.com/images/I/61W8ooaTP+L._AC_UL960_QL65_.jpg","search","ready","Rahma Stylish Premium Nida Fabric Abaya, Open Front with Wide Sleeves and headscarf for women and young girls"
"ORDER-371095","fashion","Premium Kaftan Lounge Set","1945913207","https://m.media-amazon.com/images/I/71kF+b3FXYL._AC_UL960_QL65_.jpg","search","ready","Abaya"
"ORDER-371096","fashion","Premium Modest Activewear Set","B07T6SVQ3Z","https://m.media-amazon.com/images/I/61ubcXutryL._AC_SL1500_.jpg","detail","ready","Premium Modest Activewear Set"
"ORDER-371097","fashion","Premium Family Eid Outfit Pack","B0F2TCT17L","https://m.media-amazon.com/images/I/51POA0NLqaL._AC_UL960_QL65_.jpg","search","ready","Women's Two-Piece Islamic Prayer Dress – Jilbab Abaya Set, Modest Prayer Outfit for Muslim Women, Umrah & Ramadan Essentials"
"ORDER-371098","fashion","Premium Men's Sandal Retail Set","B0DQVT7PZW","https://m.media-amazon.com/images/I/513sUjAIiXL._AC_UL960_QL65_.jpg","search","ready","RAHMA Womens Traditional Black Abaya with Long Sleeves and Headscarf, Close design, Premium Nida Fabric"
"ORDER-371099","fashion","Premium Women's Tote & Scarf Set","B0BHYW1LQM","https://m.media-amazon.com/images/I/61xmC21SegL._AC_SL1500_.jpg","detail","ready","Premium Women's Tote & Scarf Set"
"ORDER-371100","fashion","Premium Premium Prayer Wear Set","B09TXM2TDX","https://m.media-amazon.com/images/I/61jB4QFbtHL._AC_SL1500_.jpg","detail","ready","Premium Premium Prayer Wear Set"
"ORDER-371101","fashion","Travel Premium Modest Wear Set","B0FYMSBN21","https://m.media-amazon.com/images/I/61mE7EsSGIL._AC_UL960_QL65_.jpg","search","ready","Modest 3-Piece Floral Abaya Set with Inner Dress & 2 Matching Hijabs – Elegant Layered Silhouette for Women"
"ORDER-371102","fashion","Travel Breathable Abaya Collection","B0F5QGYHFQ","https://m.media-amazon.com/images/I/610-Vxb88uL._AC_SL1440_.jpg","detail","ready","Travel Breathable Abaya Collection"
"ORDER-371103","fashion","Travel Men's Business Thobe Pack","B07SZFLMQM","https://m.media-amazon.com/images/I/51M1+lErW+L._AC_UL960_QL65_.jpg","search","ready","Nukhbaa abaya made with fine fabric, comes with matching Hijab. AJ1665A-P"
"ORDER-371104","fashion","Travel Luxury Hijab Bundle","B0H2FZW3PD","https://m.media-amazon.com/images/I/418zqyKftRL._AC_UL960_QL65_.jpg","search","ready","Womens Premium Abaya Set Made With Fine Fabric | Muslim Prayer Dress Comes With Hijab Sheila | Ladies Full Long Kaftan Jal..."
"ORDER-371105","fashion","Travel Kaftan Lounge Set","B09XHNBN85","https://m.media-amazon.com/images/I/41bWAUmpmnL._AC_SL1080_.jpg","detail","ready","Travel Kaftan Lounge Set"
"ORDER-371106","fashion","Travel Modest Activewear Set","B0FDBFMTG8","https://m.media-amazon.com/images/I/61Kpx-jz1hL._AC_UL960_QL65_.jpg","search","ready","RAHMA Premium Full Length Open Abaya with inner slip dress, Hijab and Belt for women, Wide Sleeves, Modest and stylish Des..."
"ORDER-371107","fashion","Travel Family Eid Outfit Pack","B0GVL2ZSW4","https://m.media-amazon.com/images/I/612csJP1X7L._AC_SL1500_.jpg","detail","ready","Travel Family Eid Outfit Pack"
"ORDER-371108","fashion","Travel Men's Sandal Retail Set","B0GH25N687","https://m.media-amazon.com/images/I/41Ey1b91ZbL._AC_UL960_QL65_.jpg","search","ready","Softspot Islamic Prayer Abaya Isdal for Women, One-Piece Satin Prayer Dress, Full Coverage Salah Wear with Carry Bag"
"ORDER-371109","fashion","Travel Women's Tote & Scarf Set","B0BQD6ZWT2","https://m.media-amazon.com/images/I/51mVyZ5wqYL._AC_SL1500_.jpg","detail","ready","Travel Women's Tote & Scarf Set"
"ORDER-371110","fashion","Travel Premium Prayer Wear Set","B09WMK5TSG","https://m.media-amazon.com/images/I/51mVyZ5wqYL._AC_SL1500_.jpg","detail","ready","Travel Premium Prayer Wear Set"
"ORDER-371111","jewelry","Retail Smart Luxury Watch","B0CT3SGHXL","https://m.media-amazon.com/images/I/61m+fKy7wzL._AC_UL960_QL65_.jpg","search","ready","GARMIN Forerunner 165-43mm, Black | Lightweight GPS Runners Sports Watch with Colourful AMOLED Display | Up to 11 Days of ..."
"ORDER-371112","jewelry","Retail Minimal Gold Jewelry Set","B0GR61WW1Z","https://m.media-amazon.com/images/I/51AMUr26gOL._AC_SL1000_.jpg","detail","ready","Retail Minimal Gold Jewelry Set"
"ORDER-371113","jewelry","Retail Luxury Watch Display Box","B0F9F5X1QB","https://m.media-amazon.com/images/I/61eHkqcy2tL._AC_SL1500_.jpg","detail","ready","Retail Luxury Watch Display Box"
"ORDER-371114","jewelry","Retail Men's Steel Bracelet Set","B01MUA5DU5","https://m.media-amazon.com/images/I/61zPTKahPoL._AC_UL960_QL65_.jpg","search","ready","Casio Classic Alarm Digital Watch"
