id,category,title_en,title_ar,noon_english_url,noon_arabic_url,source_platform,status,notes
"ORDER-371041","mobile","Premium MagSafe Power Bank Set","فاخر - إكسسوارات الجوال","","","noon","pending",""
"ORDER-371042","mobile","Premium 65W GaN Fast Charger Kit","فاخر - إكسسوارات الجوال","","","noon","pending",""
"ORDER-371043","mobile","Premium Wireless Earbuds Retail Pack","فاخر - إكسسوارات الجوال","","","noon","pending",""
"ORDER-371044","mobile","Premium Privacy Screen Protector Bundle","فاخر - إكسسوارات الجوال","","","noon","pending",""
"ORDER-371045","mobile","Premium Magnetic Car Phone Mount","فاخر - إكسسوارات الجوال","","","noon","pending",""
"ORDER-371046","mobile","Premium USB-C Hub Adapter","فاخر - إكسسوارات الجوال","","","noon","pending",""
"ORDER-371047","mobile","Premium Smart Watch Strap Set","فاخر - إكسسوارات الجوال","","","noon","pending",""
"ORDER-371048","mobile","Premium Rugged Phone Case Bundle","فاخر - إكسسوارات الجوال","","","noon","pending",""
"ORDER-371049","mobile","Premium 3-in-1 Wireless Charging Stand","فاخر - إكسسوارات الجوال","","","noon","pending",""
"ORDER-371050","mobile","Premium Bluetooth Tracking Tag Pack","فاخر - إكسسوارات الجوال","","","noon","pending",""
"ORDER-371051","mobile","Travel MagSafe Power Bank Set","سفر - إكسسوارات الجوال","","","noon","pending",""
"ORDER-371052","mobile","Travel 65W GaN Fast Charger Kit","سفر - إكسسوارات الجوال","","","noon","pending",""
"ORDER-371053","mobile","Travel Wireless Earbuds Retail Pack","سفر - إكسسوارات الجوال","","","noon","pending",""
"ORDER-371054","mobile","Travel Privacy Screen Protector Bundle","سفر - إكسسوارات الجوال","","","noon","pending",""
"ORDER-371055","mobile","Travel Magnetic Car Phone Mount","سفر - إكسسوارات الجوال","","","noon","pending",""
"ORDER-371056","mobile","Travel USB-C Hub Adapter","سفر - إكسسوارات الجوال","","","noon","pending",""
"ORDER-371057","mobile","Travel Smart Watch Strap Set","سفر - إكسسوارات الجوال","","","noon","pending",""
"ORDER-371058","mobile","Travel Rugged Phone Case Bundle","سفر - إكسسوارات الجوال","","","noon","pending",""
"ORDER-371059","mobile","Travel 3-in-1 Wireless Charging Stand","سفر - إكسسوارات الجوال","","","noon","pending",""
"ORDER-371060","mobile","Travel Bluetooth Tracking Tag Pack","سفر - إكسسوارات الجوال","","","noon","pending",""
"ORDER-371061","fashion","Retail Premium Modest Wear Set","تجزئة - أزياء وملابس محتشمة","","","noon","pending",""
"ORDER-371062","fashion","Retail Breathable Abaya Collection","تجزئة - أزياء وملابس محتشمة","","","noon","pending",""
"ORDER-371063","fashion","Retail Men's Business Thobe Pack","تجزئة - أزياء وملابس محتشمة","","","noon","pending",""
"ORDER-371064","fashion","Retail Luxury Hijab Bundle","تجزئة - أزياء وملابس محتشمة","","","noon","pending",""
"ORDER-371065","fashion","Retail Kaftan Lounge Set","تجزئة - أزياء وملابس محتشمة","","","noon","pending",""
"ORDER-371066","fashion","Retail Modest Activewear Set","تجزئة - أزياء وملابس محتشمة","","","noon","pending",""
"ORDER-371067","fashion","Retail Family Eid Outfit Pack","تجزئة - أزياء وملابس محتشمة","","","noon","pending",""
"ORDER-371068","fashion","Retail Men's Sandal Retail Set","تجزئة - أزياء وملابس محتشمة","","","noon","pending",""
"ORDER-371069","fashion","Retail Women's Tote & Scarf Set","تجزئة - أزياء وملابس محتشمة","","","noon","pending",""
"ORDER-371070","fashion","Retail Premium Prayer Wear Set","تجزئة - أزياء وملابس محتشمة","","","noon","pending",""
"ORDER-371071","fashion","Pro Premium Modest Wear Set","احترافي - أزياء وملابس محتشمة","","","noon","pending",""
"ORDER-371072","fashion","Pro Breathable Abaya Collection","احترافي - أزياء وملابس محتشمة","","","noon","pending",""
"ORDER-371073","fashion","Pro Men's Business Thobe Pack","احترافي - أزياء وملابس محتشمة","","","noon","pending",""
"ORDER-371074","fashion","Pro Luxury Hijab Bundle","احترافي - أزياء وملابس محتشمة","","","noon","pending",""
"ORDER-371075","fashion","Pro Kaftan Lounge Set","احترافي - أزياء وملابس محتشمة","","","noon","pending",""
"ORDER-371076","fashion","Pro Modest Activewear Set","احترافي - أزياء وملابس محتشمة","","","noon","pending",""
"ORDER-371077","fashion","Pro Family Eid Outfit Pack","احترافي - أزياء وملابس محتشمة","","","noon","pending",""
"ORDER-371078","fashion","Pro Men's Sandal Retail Set","احترافي - أزياء وملابس محتشمة","","","noon","pending",""
"ORDER-371079","fashion","Pro Women's Tote & Scarf Set","احترافي - أزياء وملابس محتشمة","","","noon","pending",""
"ORDER-371080","fashion","Pro Premium Prayer Wear Set","احترافي - أزياء وملابس محتشمة","","","noon","pending",""
"ORDER-371081","fashion","Compact Premium Modest Wear Set","مدمج - أزياء وملابس محتشمة","","","noon","pending",""
"ORDER-371082","fashion","Compact Breathable Abaya Collection","مدمج - أزياء وملابس محتشمة","","","noon","pending",""
"ORDER-371083","fashion","Compact Men's Business Thobe Pack","مدمج - أزياء وملابس محتشمة","","","noon","pending",""
"ORDER-371084","fashion","Compact Luxury Hijab Bundle","مدمج - أزياء وملابس محتشمة","","","noon","pending",""
"ORDER-371085","fashion","Compact Kaftan Lounge Set","مدمج - أزياء وملابس محتشمة","","","noon","pending",""
"ORDER-371086","fashion","Compact Modest Activewear Set","مدمج - أزياء وملابس محتشمة","","","noon","pending",""
"ORDER-371087","fashion","Compact Family Eid Outfit Pack","مدمج - أزياء وملابس محتشمة","","","noon","pending",""
"ORDER-371088","fashion","Compact Men's Sandal Retail Set","مدمج - أزياء وملابس محتشمة","","","noon","pending",""
"ORDER-371089","fashion","Compact Women's Tote & Scarf Set","مدمج - أزياء وملابس محتشمة","","","noon","pending",""
"ORDER-371090","fashion","Compact Premium Prayer Wear Set","مدمج - أزياء وملابس محتشمة","","","noon","pending",""
"ORDER-371091","fashion","Premium Premium Modest Wear Set","فاخر - أزياء وملابس محتشمة","","","noon","pending",""
"ORDER-371092","fashion","Premium Breathable Abaya Collection","فاخر - أزياء وملابس محتشمة","","","noon","pending",""
"ORDER-371093","fashion","Premium Men's Business Thobe Pack","فاخر - أزياء وملابس محتشمة","","","noon","pending",""
"ORDER-371094","fashion","Premium Luxury Hijab Bundle","فاخر - أزياء وملابس محتشمة","","","noon","pending",""
"ORDER-371095","fashion","Premium Kaftan Lounge Set","فاخر - أزياء وملابس محتشمة","","","noon","pending",""
"ORDER-371096","fashion","Premium Modest Activewear Set","فاخر - أزياء وملابس محتشمة","","","noon","pending",""
"ORDER-371097","fashion","Premium Family Eid Outfit Pack","فاخر - أزياء وملابس محتشمة","","","noon","pending",""
"ORDER-371098","fashion","Premium Men's Sandal Retail Set","فاخر - أزياء وملابس محتشمة","","","noon","pending",""
"ORDER-371099","fashion","Premium Women's Tote & Scarf Set","فاخر - أزياء وملابس محتشمة","","","noon","pending",""
"ORDER-371100","fashion","Premium Premium Prayer Wear Set","فاخر - أزياء وملابس محتشمة","","","noon","pending",""
"ORDER-371101","fashion","Travel Premium Modest Wear Set","سفر - أزياء وملابس محتشمة","","","noon","pending",""
"ORDER-371102","fashion","Travel Breathable Abaya Collection","سفر - أزياء وملابس محتشمة","","","noon","pending",""
"ORDER-371103","fashion","Travel Men's Business Thobe Pack","سفر - أزياء وملابس محتشمة","","","noon","pending",""
"ORDER-371104","fashion","Travel Luxury Hijab Bundle","سفر - أزياء وملابس محتشمة","","","noon","pending",""
"ORDER-371105","fashion","Travel Kaftan Lounge Set","سفر - أزياء وملابس محتشمة","","","noon","pending",""
"ORDER-371106","fashion","Travel Modest Activewear Set","سفر - أزياء وملابس محتشمة","","","noon","pending",""
"ORDER-371107","fashion","Travel Family Eid Outfit Pack","سفر - أزياء وملابس محتشمة","","","noon","pending",""
"ORDER-371108","fashion","Travel Men's Sandal Retail Set","سفر - أزياء وملابس محتشمة","","","noon","pending",""
"ORDER-371109","fashion","Travel Women's Tote & Scarf Set","سفر - أزياء وملابس محتشمة","","","noon","pending",""
"ORDER-371110","fashion","Travel Premium Prayer Wear Set","سفر - أزياء وملابس محتشمة","","","noon","pending",""
"ORDER-371111","jewelry","Retail Smart Luxury Watch","تجزئة - مجوهرات وساعات","","","noon","pending",""
"ORDER-371112","jewelry","Retail Minimal Gold Jewelry Set","تجزئة - مجوهرات وساعات","","","noon","pending",""
"ORDER-371113","jewelry","Retail Luxury Watch Display Box","تجزئة - مجوهرات وساعات","","","noon","pending",""
"ORDER-371114","jewelry","Retail Men's Steel Bracelet Set","تجزئة - مجوهرات وساعات","","","noon","pending",""
"ORDER-371115","jewelry","Retail Pearl Necklace Gift Box","تجزئة - مجوهرات وساعات","","","noon","pending",""
"ORDER-371116","jewelry","Retail Arabic Initial Pendant Set","تجزئة - مجوهرات وساعات","","","noon","pending",""
"ORDER-371117","jewelry","Retail Women's Fashion Watch Pack","تجزئة - مجوهرات وساعات","","","noon","pending",""
"ORDER-371118","jewelry","Retail Travel Jewelry Organizer","تجزئة - مجوهرات وساعات","","","noon","pending",""
"ORDER-371119","jewelry","Retail Luxury Cufflink Set","تجزئة - مجوهرات وساعات","","","noon","pending",""
"ORDER-371120","jewelry","Retail Crystal Bracelet Gift Set","تجزئة - مجوهرات وساعات","","","noon","pending",""
"ORDER-371121","jewelry","Pro Smart Luxury Watch","احترافي - مجوهرات وساعات","","","noon","pending",""
"ORDER-371122","jewelry","Pro Minimal Gold Jewelry Set","احترافي - مجوهرات وساعات","","","noon","pending",""
"ORDER-371123","jewelry","Pro Luxury Watch Display Box","احترافي - مجوهرات وساعات","","","noon","pending",""
"ORDER-371124","jewelry","Pro Men's Steel Bracelet Set","احترافي - مجوهرات وساعات","","","noon","pending",""
"ORDER-371125","jewelry","Pro Pearl Necklace Gift Box","احترافي - مجوهرات وساعات","","","noon","pending",""
"ORDER-371126","jewelry","Pro Arabic Initial Pendant Set","احترافي - مجوهرات وساعات","","","noon","pending",""
"ORDER-371127","jewelry","Pro Women's Fashion Watch Pack","احترافي - مجوهرات وساعات","","","noon","pending",""
"ORDER-371128","jewelry","Pro Travel Jewelry Organizer","احترافي - مجوهرات وساعات","","","noon","pending",""
"ORDER-371129","jewelry","Pro Luxury Cufflink Set","احترافي - مجوهرات وساعات","","","noon","pending",""
"ORDER-371130","jewelry","Pro Crystal Bracelet Gift Set","احترافي - مجوهرات وساعات","","","noon","pending",""
"ORDER-371131","jewelry","Compact Smart Luxury Watch","مدمج - مجوهرات وساعات","","","noon","pending",""
"ORDER-371132","jewelry","Compact Minimal Gold Jewelry Set","مدمج - مجوهرات وساعات","","","noon","pending",""
"ORDER-371133","jewelry","Compact Luxury Watch Display Box","مدمج - مجوهرات وساعات","","","noon","pending",""
"ORDER-371134","jewelry","Compact Men's Steel Bracelet Set","مدمج - مجوهرات وساعات","","","noon","pending",""
"ORDER-371135","jewelry","Compact Pearl Necklace Gift Box","مدمج - مجوهرات وساعات","","","noon","pending",""
"ORDER-371136","jewelry","Compact Arabic Initial Pendant Set","مدمج - مجوهرات وساعات","","","noon","pending",""
"ORDER-371137","jewelry","Compact Women's Fashion Watch Pack","مدمج - مجوهرات وساعات","","","noon","pending",""
"ORDER-371138","jewelry","Compact Travel Jewelry Organizer","مدمج - مجوهرات وساعات","","","noon","pending",""
"ORDER-371139","jewelry","Compact Luxury Cufflink Set","مدمج - مجوهرات وساعات","","","noon","pending",""
"ORDER-371140","jewelry","Compact Crystal Bracelet Gift Set","مدمج - مجوهرات وساعات","","","noon","pending",""
"ORDER-371141","jewelry","Premium Smart Luxury Watch","فاخر - مجوهرات وساعات","","","noon","pending",""
"ORDER-371142","jewelry","Premium Minimal Gold Jewelry Set","فاخر - مجوهرات وساعات","","","noon","pending",""
"ORDER-371143","jewelry","Premium Luxury Watch Display Box","فاخر - مجوهرات وساعات","","","noon","pending",""
"ORDER-371144","jewelry","Premium Men's Steel Bracelet Set","فاخر - مجوهرات وساعات","","","noon","pending",""
"ORDER-371145","jewelry","Premium Pearl Necklace Gift Box","فاخر - مجوهرات وساعات","","","noon","pending",""
"ORDER-371146","jewelry","Premium Arabic Initial Pendant Set","فاخر - مجوهرات وساعات","","","noon","pending",""
"ORDER-371147","jewelry","Premium Women's Fashion Watch Pack","فاخر - مجوهرات وساعات","","","noon","pending",""
"ORDER-371148","jewelry","Premium Travel Jewelry Organizer","فاخر - مجوهرات وساعات","","","noon","pending",""
"ORDER-371149","jewelry","Premium Luxury Cufflink Set","فاخر - مجوهرات وساعات","","","noon","pending",""
"ORDER-371150","jewelry","Premium Crystal Bracelet Gift Set","فاخر - مجوهرات وساعات","","","noon","pending",""
"ORDER-371151","jewelry","Travel Smart Luxury Watch","سفر - مجوهرات وساعات","","","noon","pending",""
"ORDER-371152","jewelry","Travel Minimal Gold Jewelry Set","سفر - مجوهرات وساعات","","","noon","pending",""
"ORDER-371153","jewelry","Travel Luxury Watch Display Box","سفر - مجوهرات وساعات","","","noon","pending",""
"ORDER-371154","jewelry","Travel Men's Steel Bracelet Set","سفر - مجوهرات وساعات","","","noon","pending",""
"ORDER-371155","jewelry","Travel Pearl Necklace Gift Box","سفر - مجوهرات وساعات","","","noon","pending",""
"ORDER-371156","jewelry","Travel Arabic Initial Pendant Set","سفر - مجوهرات وساعات","","","noon","pending",""
"ORDER-371157","jewelry","Travel Women's Fashion Watch Pack","سفر - مجوهرات وساعات","","","noon","pending",""
"ORDER-371158","jewelry","Travel Travel Jewelry Organizer","سفر - مجوهرات وساعات","","","noon","pending",""
"ORDER-371159","jewelry","Travel Luxury Cufflink Set","سفر - مجوهرات وساعات","","","noon","pending",""
"ORDER-371160","jewelry","Travel Crystal Bracelet Gift Set","سفر - مجوهرات وساعات","","","noon","pending",""
"ORDER-371161","home","Retail Compact Air Fryer","تجزئة - المنزل والمطبخ","","","noon","pending",""
"ORDER-371162","home","Retail Arabic Coffee Gift Kit","تجزئة - المنزل والمطبخ","","","noon","pending",""
"ORDER-371163","home","Retail Electric Kettle Set","تجزئة - المنزل والمطبخ","","","noon","pending",""
"ORDER-371164","home","Retail Capsule Coffee Machine","تجزئة - المنزل والمطبخ","","","noon","pending",""
"ORDER-371165","home","Retail Kitchen Storage Organizer","تجزئة - المنزل والمطبخ","","","noon","pending",""
"ORDER-371166","home","Retail Digital Kitchen Scale","تجزئة - المنزل والمطبخ","","","noon","pending",""
"ORDER-371167","home","Retail Countertop Blender","تجزئة - المنزل والمطبخ","","","noon","pending",""
"ORDER-371168","home","Retail Stainless Cookware Set","تجزئة - المنزل والمطبخ","","","noon","pending",""
"ORDER-371169","home","Retail Smart Home Diffuser","تجزئة - المنزل والمطبخ","","","noon","pending",""
"ORDER-371170","home","Retail Cordless Vacuum Cleaner","تجزئة - المنزل والمطبخ","","","noon","pending",""
"ORDER-371171","home","Pro Compact Air Fryer","احترافي - المنزل والمطبخ","","","noon","pending",""
"ORDER-371172","home","Pro Arabic Coffee Gift Kit","احترافي - المنزل والمطبخ","","","noon","pending",""
"ORDER-371173","home","Pro Electric Kettle Set","احترافي - المنزل والمطبخ","","","noon","pending",""
"ORDER-371174","home","Pro Capsule Coffee Machine","احترافي - المنزل والمطبخ","","","noon","pending",""
"ORDER-371175","home","Pro Kitchen Storage Organizer","احترافي - المنزل والمطبخ","","","noon","pending",""
"ORDER-371176","home","Pro Digital Kitchen Scale","احترافي - المنزل والمطبخ","","","noon","pending",""
"ORDER-371177","home","Pro Countertop Blender","احترافي - المنزل والمطبخ","","","noon","pending",""
"ORDER-371178","home","Pro Stainless Cookware Set","احترافي - المنزل والمطبخ","","","noon","pending",""
"ORDER-371179","home","Pro Smart Home Diffuser","احترافي - المنزل والمطبخ","","","noon","pending",""
"ORDER-371180","home","Pro Cordless Vacuum Cleaner","احترافي - المنزل والمطبخ","","","noon","pending",""
"ORDER-371181","home","Compact Compact Air Fryer","مدمج - المنزل والمطبخ","","","noon","pending",""
"ORDER-371182","home","Compact Arabic Coffee Gift Kit","مدمج - المنزل والمطبخ","","","noon","pending",""
"ORDER-371183","home","Compact Electric Kettle Set","مدمج - المنزل والمطبخ","","","noon","pending",""
"ORDER-371184","home","Compact Capsule Coffee Machine","مدمج - المنزل والمطبخ","","","noon","pending",""
"ORDER-371185","home","Compact Kitchen Storage Organizer","مدمج - المنزل والمطبخ","","","noon","pending",""
"ORDER-371186","home","Compact Digital Kitchen Scale","مدمج - المنزل والمطبخ","","","noon","pending",""
"ORDER-371187","home","Compact Countertop Blender","مدمج - المنزل والمطبخ","","","noon","pending",""
"ORDER-371188","home","Compact Stainless Cookware Set","مدمج - المنزل والمطبخ","","","noon","pending",""
"ORDER-371189","home","Compact Smart Home Diffuser","مدمج - المنزل والمطبخ","","","noon","pending",""
"ORDER-371190","home","Compact Cordless Vacuum Cleaner","مدمج - المنزل والمطبخ","","","noon","pending",""
"ORDER-371191","home","Premium Compact Air Fryer","فاخر - المنزل والمطبخ","","","noon","pending",""
"ORDER-371192","home","Premium Arabic Coffee Gift Kit","فاخر - المنزل والمطبخ","","","noon","pending",""
"ORDER-371193","home","Premium Electric Kettle Set","فاخر - المنزل والمطبخ","","","noon","pending",""
"ORDER-371194","home","Premium Capsule Coffee Machine","فاخر - المنزل والمطبخ","","","noon","pending",""
"ORDER-371195","home","Premium Kitchen Storage Organizer","فاخر - المنزل والمطبخ","","","noon","pending",""
"ORDER-371196","home","Premium Digital Kitchen Scale","فاخر - المنزل والمطبخ","","","noon","pending",""
"ORDER-371197","home","Premium Countertop Blender","فاخر - المنزل والمطبخ","","","noon","pending",""
"ORDER-371198","home","Premium Stainless Cookware Set","فاخر - المنزل والمطبخ","","","noon","pending",""
"ORDER-371199","home","Premium Smart Home Diffuser","فاخر - المنزل والمطبخ","","","noon","pending",""
"ORDER-371200","home","Premium Cordless Vacuum Cleaner","فاخر - المنزل والمطبخ","","","noon","pending",""
"ORDER-371201","home","Travel Compact Air Fryer","سفر - المنزل والمطبخ","","","noon","pending",""
"ORDER-371202","home","Travel Arabic Coffee Gift Kit","سفر - المنزل والمطبخ","","","noon","pending",""
"ORDER-371203","home","Travel Electric Kettle Set","سفر - المنزل والمطبخ","","","noon","pending",""
"ORDER-371204","home","Travel Capsule Coffee Machine","سفر - المنزل والمطبخ","","","noon","pending",""
"ORDER-371205","home","Travel Kitchen Storage Organizer","سفر - المنزل والمطبخ","","","noon","pending",""
"ORDER-371206","home","Travel Digital Kitchen Scale","سفر - المنزل والمطبخ","","","noon","pending",""
"ORDER-371207","home","Travel Countertop Blender","سفر - المنزل والمطبخ","","","noon","pending",""
"ORDER-371208","home","Travel Stainless Cookware Set","سفر - المنزل والمطبخ","","","noon","pending",""
"ORDER-371209","home","Travel Smart Home Diffuser","سفر - المنزل والمطبخ","","","noon","pending",""
"ORDER-371210","home","Travel Cordless Vacuum Cleaner","سفر - المنزل والمطبخ","","","noon","pending",""
"ORDER-371211","furniture","Retail LED Decor Light Panel","تجزئة - أثاث وديكور","","","noon","pending",""
"ORDER-371212","furniture","Retail Foldable Study Desk","تجزئة - أثاث وديكور","","","noon","pending",""
"ORDER-371213","furniture","Retail Luxury Storage Organizer","تجزئة - أثاث وديكور","","","noon","pending",""
"ORDER-371214","furniture","Retail 3D LED Wall Clock","تجزئة - أثاث وديكور","","","noon","pending",""
"ORDER-371215","furniture","Retail Velvet Hanger Storage Pack","تجزئة - أثاث وديكور","","","noon","pending",""
"ORDER-371216","furniture","Retail Gaming Chair Cushion Set","تجزئة - أثاث وديكور","","","noon","pending",""
"ORDER-371217","furniture","Retail Minimal Coffee Table","تجزئة - أثاث وديكور","","","noon","pending",""
"ORDER-371218","furniture","Retail Decorative Floor Lamp","تجزئة - أثاث وديكور","","","noon","pending",""
"ORDER-371219","furniture","Retail Under-Sink Organizer Rack","تجزئة - أثاث وديكور","","","noon","pending",""
"ORDER-371220","furniture","Retail Luxury Cushion Cover Set","تجزئة - أثاث وديكور","","","noon","pending",""
"ORDER-371221","furniture","Pro LED Decor Light Panel","احترافي - أثاث وديكور","","","noon","pending",""
"ORDER-371222","furniture","Pro Foldable Study Desk","احترافي - أثاث وديكور","","","noon","pending",""
"ORDER-371223","furniture","Pro Luxury Storage Organizer","احترافي - أثاث وديكور","","","noon","pending",""
"ORDER-371224","furniture","Pro 3D LED Wall Clock","احترافي - أثاث وديكور","","","noon","pending",""
"ORDER-371225","furniture","Pro Velvet Hanger Storage Pack","احترافي - أثاث وديكور","","","noon","pending",""
"ORDER-371226","furniture","Pro Gaming Chair Cushion Set","احترافي - أثاث وديكور","","","noon","pending",""
"ORDER-371227","furniture","Pro Minimal Coffee Table","احترافي - أثاث وديكور","","","noon","pending",""
"ORDER-371228","furniture","Pro Decorative Floor Lamp","احترافي - أثاث وديكور","","","noon","pending",""
"ORDER-371229","furniture","Pro Under-Sink Organizer Rack","احترافي - أثاث وديكور","","","noon","pending",""
"ORDER-371230","furniture","Pro Luxury Cushion Cover Set","احترافي - أثاث وديكور","","","noon","pending",""
"ORDER-371231","furniture","Compact LED Decor Light Panel","مدمج - أثاث وديكور","","","noon","pending",""
"ORDER-371232","furniture","Compact Foldable Study Desk","مدمج - أثاث وديكور","","","noon","pending",""
"ORDER-371233","furniture","Compact Luxury Storage Organizer","مدمج - أثاث وديكور","","","noon","pending",""
"ORDER-371234","furniture","Compact 3D LED Wall Clock","مدمج - أثاث وديكور","","","noon","pending",""
"ORDER-371235","furniture","Compact Velvet Hanger Storage Pack","مدمج - أثاث وديكور","","","noon","pending",""
"ORDER-371236","furniture","Compact Gaming Chair Cushion Set","مدمج - أثاث وديكور","","","noon","pending",""
"ORDER-371237","furniture","Compact Minimal Coffee Table","مدمج - أثاث وديكور","","","noon","pending",""
"ORDER-371238","furniture","Compact Decorative Floor Lamp","مدمج - أثاث وديكور","","","noon","pending",""
"ORDER-371239","furniture","Compact Under-Sink Organizer Rack","مدمج - أثاث وديكور","","","noon","pending",""
"ORDER-371240","furniture","Compact Luxury Cushion Cover Set","مدمج - أثاث وديكور","","","noon","pending",""
"ORDER-371241","furniture","Premium LED Decor Light Panel","فاخر - أثاث وديكور","","","noon","pending",""
"ORDER-371242","furniture","Premium Foldable Study Desk","فاخر - أثاث وديكور","","","noon","pending",""
"ORDER-371243","furniture","Premium Luxury Storage Organizer","فاخر - أثاث وديكور","","","noon","pending",""
"ORDER-371244","furniture","Premium 3D LED Wall Clock","فاخر - أثاث وديكور","","","noon","pending",""
"ORDER-371245","furniture","Premium Velvet Hanger Storage Pack","فاخر - أثاث وديكور","","","noon","pending",""
"ORDER-371246","furniture","Premium Gaming Chair Cushion Set","فاخر - أثاث وديكور","","","noon","pending",""
"ORDER-371247","furniture","Premium Minimal Coffee Table","فاخر - أثاث وديكور","","","noon","pending",""
"ORDER-371248","furniture","Premium Decorative Floor Lamp","فاخر - أثاث وديكور","","","noon","pending",""
"ORDER-371249","furniture","Premium Under-Sink Organizer Rack","فاخر - أثاث وديكور","","","noon","pending",""
"ORDER-371250","furniture","Premium Luxury Cushion Cover Set","فاخر - أثاث وديكور","","","noon","pending",""
"ORDER-371251","furniture","Travel LED Decor Light Panel","سفر - أثاث وديكور","","","noon","pending",""
"ORDER-371252","furniture","Travel Foldable Study Desk","سفر - أثاث وديكور","","","noon","pending",""
"ORDER-371253","furniture","Travel Luxury Storage Organizer","سفر - أثاث وديكور","","","noon","pending",""
"ORDER-371254","furniture","Travel 3D LED Wall Clock","سفر - أثاث وديكور","","","noon","pending",""
"ORDER-371255","furniture","Travel Velvet Hanger Storage Pack","سفر - أثاث وديكور","","","noon","pending",""
"ORDER-371256","furniture","Travel Gaming Chair Cushion Set","سفر - أثاث وديكور","","","noon","pending",""
"ORDER-371257","furniture","Travel Minimal Coffee Table","سفر - أثاث وديكور","","","noon","pending",""
"ORDER-371258","furniture","Travel Decorative Floor Lamp","سفر - أثاث وديكور","","","noon","pending",""
"ORDER-371259","furniture","Travel Under-Sink Organizer Rack","سفر - أثاث وديكور","","","noon","pending",""
"ORDER-371260","furniture","Travel Luxury Cushion Cover Set","سفر - أثاث وديكور","","","noon","pending",""
"ORDER-371261","auto","Retail Car Smart Display Kit","تجزئة - إكسسوارات السيارات","","","noon","pending",""
"ORDER-371262","auto","Retail Car Cooling Seat Pad","تجزئة - إكسسوارات السيارات","","","noon","pending",""
