id,category,title_en,amazon_aed,amazon_usd,source,c_supply,b_supply,a_supply,amazon_en_url,amazon_ar_url
ORDER-371068,fashion,"Retail Men's Sandal Retail Set",43.52,12,search,$4,$3,$2,,
ORDER-371069,fashion,"Retail Women's Tote & Scarf Set",129,35,detail,$12,$9,$7,,
ORDER-371070,fashion,"Retail Premium Prayer Wear Set",58,16,search,$5,$4,$3,,
ORDER-371071,fashion,"Pro Premium Modest Wear Set",89,24,search,$8,$6,$5,,
ORDER-371072,fashion,"Pro Breathable Abaya Collection",35,10,search,$3,$3,$2,,
ORDER-371073,fashion,"Pro Men's Business Thobe Pack",47,13,search,$4,$3,$3,,
ORDER-371074,fashion,"Pro Luxury Hijab Bundle",155,42,search,$14,$11,$8,,
ORDER-371075,fashion,"Pro Kaftan Lounge Set",76,21,search,$7,$5,$4,,
ORDER-371076,fashion,"Pro Modest Activewear Set",95,26,search,$9,$7,$5,,
ORDER-371077,fashion,"Pro Family Eid Outfit Pack",156.68,43,search,$14,$11,$9,,
ORDER-371078,fashion,"Pro Men's Sandal Retail Set",280,76,search,$25,$19,$15,,
ORDER-371079,fashion,"Pro Women's Tote & Scarf Set",184.94,50,search,$17,$13,$10,,
ORDER-371080,fashion,"Pro Premium Prayer Wear Set",35,10,search,$3,$3,$2,,
ORDER-371081,fashion,"Compact Premium Modest Wear Set",71,19,detail,$6,$5,$4,,
ORDER-371082,fashion,"Compact Breathable Abaya Collection",176,48,search,$16,$12,$10,,
ORDER-371083,fashion,"Compact Men's Business Thobe Pack",51.75,14,detail,$5,$4,$3,,
ORDER-371084,fashion,"Compact Luxury Hijab Bundle",89,24,search,$8,$6,$5,,
ORDER-371085,fashion,"Compact Kaftan Lounge Set",171,47,search,$16,$12,$9,,
ORDER-371086,fashion,"Compact Modest Activewear Set",89,24,search,$8,$6,$5,,
ORDER-371087,fashion,"Compact Family Eid Outfit Pack",62.81,17,search,$6,$4,$3,,
ORDER-371088,fashion,"Compact Men's Sandal Retail Set",181,49,search,$16,$12,$10,,
ORDER-371089,fashion,"Compact Women's Tote & Scarf Set",87,24,search,$8,$6,$5,,
ORDER-371090,fashion,"Compact Premium Prayer Wear Set",89,24,detail,$8,$6,$5,,
ORDER-371091,fashion,"Premium Premium Modest Wear Set",194,53,search,$18,$13,$11,,
ORDER-371092,fashion,"Premium Breathable Abaya Collection",35,10,search,$3,$3,$2,,
ORDER-371093,fashion,"Premium Men's Business Thobe Pack",89,24,search,$8,$6,$5,,
ORDER-371094,fashion,"Premium Luxury Hijab Bundle",95,26,search,$9,$7,$5,,
ORDER-371095,fashion,"Premium Kaftan Lounge Set",107.41,29,search,$10,$7,$6,,
ORDER-371096,fashion,"Premium Modest Activewear Set",121.67,33,search,$11,$8,$7,,
ORDER-371097,fashion,"Premium Family Eid Outfit Pack",50,14,search,$5,$4,$3,,
ORDER-371098,fashion,"Premium Men's Sandal Retail Set",99,27,search,$9,$7,$5,,
ORDER-371099,fashion,"Premium Women's Tote & Scarf Set",326.71,89,search,$30,$22,$18,,
ORDER-371100,fashion,"Premium Premium Prayer Wear Set",185,50,search,$17,$13,$10,,
ORDER-371101,fashion,"Travel Premium Modest Wear Set",350.1,95,search,$32,$24,$19,,
ORDER-371102,fashion,"Travel Breathable Abaya Collection",96.05,26,search,$9,$7,$5,,
ORDER-371103,fashion,"Travel Men's Business Thobe Pack",193,53,search,$18,$13,$11,,
ORDER-371104,fashion,"Travel Luxury Hijab Bundle",118.7,32,search,$11,$8,$6,,
ORDER-371105,fashion,"Travel Kaftan Lounge Set",207.66,57,detail,$19,$14,$11,,
ORDER-371106,fashion,"Travel Modest Activewear Set",129,35,search,$12,$9,$7,,
ORDER-371107,fashion,"Travel Family Eid Outfit Pack",135,37,search,$12,$9,$7,,
ORDER-371108,fashion,"Travel Men's Sandal Retail Set",107,29,detail,$10,$7,$6,,
ORDER-371109,fashion,"Travel Women's Tote & Scarf Set",52.26,14,detail,$5,$4,$3,,
ORDER-371110,fashion,"Travel Premium Prayer Wear Set",88,24,search,$8,$6,$5,,
ORDER-371111,jewelry,"Retail Smart Luxury Watch",1149,313,detail,$104,$78,$63,,
ORDER-371112,jewelry,"Retail Minimal Gold Jewelry Set",6699,1824,detail,$608,$456,$365,,
ORDER-371113,jewelry,"Retail Luxury Watch Display Box",3059,833,detail,$278,$208,$167,,
ORDER-371114,jewelry,"Retail Men's Steel Bracelet Set",79.9,22,detail,$7,$6,$4,,
ORDER-371115,jewelry,"Retail Pearl Necklace Gift Box",169,46,detail,$15,$12,$9,,
ORDER-371116,jewelry,"Retail Arabic Initial Pendant Set",160,44,detail,$15,$11,$9,,
ORDER-371117,jewelry,"Retail Women's Fashion Watch Pack",392,107,detail,$36,$27,$21,,
ORDER-371118,jewelry,"Retail Travel Jewelry Organizer",180,49,detail,$16,$12,$10,,
ORDER-371119,jewelry,"Retail Luxury Cufflink Set",960,261,detail,$87,$65,$52,,
ORDER-371120,jewelry,"Retail Crystal Bracelet Gift Set",117,32,detail,$11,$8,$6,,
ORDER-371121,jewelry,"Pro Smart Luxury Watch",185,50,detail,$17,$13,$10,,
ORDER-371122,jewelry,"Pro Minimal Gold Jewelry Set",183,49.83,category-median,$17,$12,$10,,
ORDER-371123,jewelry,"Pro Luxury Watch Display Box",235,64,detail,$21,$16,$13,,
ORDER-371124,jewelry,"Pro Men's Steel Bracelet Set",215,59,detail,$20,$15,$12,,
ORDER-371125,jewelry,"Pro Pearl Necklace Gift Box",77,21,detail,$7,$5,$4,,
ORDER-371126,jewelry,"Pro Arabic Initial Pendant Set",369,100,detail,$33,$25,$20,,
ORDER-371127,jewelry,"Pro Women's Fashion Watch Pack",445,121,detail,$40,$30,$24,,
ORDER-371128,jewelry,"Pro Travel Jewelry Organizer",125,34,search,$11,$9,$7,,
ORDER-371129,jewelry,"Pro Luxury Cufflink Set",181,49,detail,$16,$12,$10,,
ORDER-371130,jewelry,"Pro Crystal Bracelet Gift Set",129,35,search,$12,$9,$7,,
ORDER-371131,jewelry,"Compact Smart Luxury Watch",339,92,detail,$31,$23,$18,,
ORDER-371132,jewelry,"Compact Minimal Gold Jewelry Set",1800,490,detail,$163,$123,$98,,
ORDER-371133,jewelry,"Compact Luxury Watch Display Box",125,34,detail,$11,$9,$7,,
ORDER-371134,jewelry,"Compact Men's Steel Bracelet Set",117.96,32,search,$11,$8,$6,,
ORDER-371135,jewelry,"Compact Pearl Necklace Gift Box",59.99,16,detail,$5,$4,$3,,
ORDER-371136,jewelry,"Compact Arabic Initial Pendant Set",119.51,33,detail,$11,$8,$7,,
ORDER-371137,jewelry,"Compact Women's Fashion Watch Pack",185,50,detail,$17,$13,$10,,
ORDER-371138,jewelry,"Compact Travel Jewelry Organizer",152,41,search,$14,$10,$8,,
ORDER-371139,jewelry,"Compact Luxury Cufflink Set",160.88,44,detail,$15,$11,$9,,
ORDER-371140,jewelry,"Compact Crystal Bracelet Gift Set",165,45,detail,$15,$11,$9,,
ORDER-371141,jewelry,"Premium Smart Luxury Watch",183,49.83,category-median,$17,$12,$10,,
ORDER-371142,jewelry,"Premium Minimal Gold Jewelry Set",159,43,search,$14,$11,$9,,
ORDER-371143,jewelry,"Premium Luxury Watch Display Box",209.99,57,detail,$19,$14,$11,,
ORDER-371144,jewelry,"Premium Men's Steel Bracelet Set",116.99,32,detail,$11,$8,$6,,
ORDER-371145,jewelry,"Premium Pearl Necklace Gift Box",919,250,detail,$83,$63,$50,,
ORDER-371146,jewelry,"Premium Arabic Initial Pendant Set",125,34,detail,$11,$9,$7,,
ORDER-371147,jewelry,"Premium Women's Fashion Watch Pack",1520,414,detail,$138,$104,$83,,
ORDER-371148,jewelry,"Premium Travel Jewelry Organizer",115,31,search,$10,$8,$6,,
ORDER-371149,jewelry,"Premium Luxury Cufflink Set",117.85,32,search,$11,$8,$6,,
ORDER-371150,jewelry,"Premium Crystal Bracelet Gift Set",487,133,detail,$44,$33,$27,,
ORDER-371151,jewelry,"Travel Smart Luxury Watch",849,231,search,$77,$58,$46,,
ORDER-371152,jewelry,"Travel Minimal Gold Jewelry Set",250,68,detail,$23,$17,$14,,
ORDER-371153,jewelry,"Travel Luxury Watch Display Box",285.58,78,search,$26,$20,$16,,
ORDER-371154,jewelry,"Travel Men's Steel Bracelet Set",77.8,21,search,$7,$5,$4,,
ORDER-371155,jewelry,"Travel Pearl Necklace Gift Box",215,59,detail,$20,$15,$12,,
ORDER-371156,jewelry,"Travel Arabic Initial Pendant Set",287,78,search,$26,$20,$16,,
ORDER-371157,jewelry,"Travel Women's Fashion Watch Pack",110.37,30,detail,$10,$8,$6,,
ORDER-371158,jewelry,"Travel Travel Jewelry Organizer",120,33,detail,$11,$8,$7,,
ORDER-371159,jewelry,"Travel Luxury Cufflink Set",600,163,search,$54,$41,$33,,
ORDER-371160,jewelry,"Travel Crystal Bracelet Gift Set",280,76,search,$25,$19,$15,,
ORDER-371161,home,"Retail Compact Air Fryer",69.99,19,detail,$6,$5,$4,,
ORDER-371162,home,"Retail Arabic Coffee Gift Kit",55.99,15,detail,$5,$4,$3,,
ORDER-371163,home,"Retail Electric Kettle Set",45.99,13,detail,$4,$3,$3,,
ORDER-371164,home,"Retail Capsule Coffee Machine",68,19,search,$6,$5,$4,,
ORDER-371165,home,"Retail Kitchen Storage Organizer",129,35,search,$12,$9,$7,,
ORDER-371166,home,"Retail Digital Kitchen Scale",49,13,search,$4,$3,$3,,
ORDER-371167,home,"Retail Countertop Blender",59.31,16,detail,$5,$4,$3,,
ORDER-371168,home,"Retail Stainless Cookware Set",108.89,30,detail,$10,$8,$6,,
ORDER-371169,home,"Retail Smart Home Diffuser",55.99,15.25,category-median,$5,$4,$3,,
ORDER-371170,home,"Retail Cordless Vacuum Cleaner",37.7,10,detail,$3,$3,$2,,
ORDER-371171,home,"Pro Compact Air Fryer",42.75,12,detail,$4,$3,$2,,
ORDER-371172,home,"Pro Arabic Coffee Gift Kit",99,27,detail,$9,$7,$5,,
ORDER-371173,home,"Pro Electric Kettle Set",55,15,detail,$5,$4,$3,,
ORDER-371174,home,"Pro Capsule Coffee Machine",42,11,detail,$4,$3,$2,,
ORDER-371175,home,"Pro Kitchen Storage Organizer",80,22,detail,$7,$6,$4,,
ORDER-371176,home,"Pro Digital Kitchen Scale",145,39,detail,$13,$10,$8,,
ORDER-371177,home,"Pro Countertop Blender",185,50,detail,$17,$13,$10,,
ORDER-371178,home,"Pro Stainless Cookware Set",73,20,search,$7,$5,$4,,
ORDER-371179,home,"Pro Smart Home Diffuser",29.95,8,search,$3,$2,$2,,
ORDER-371180,home,"Pro Cordless Vacuum Cleaner",18.81,5,detail,$2,$1,$1,,
ORDER-371181,home,"Compact Compact Air Fryer",12.99,4,search,$1,$1,$1,,
ORDER-371182,home,"Compact Arabic Coffee Gift Kit",31.4,9,search,$3,$2,$2,,
ORDER-371183,home,"Compact Electric Kettle Set",31.48,9,search,$3,$2,$2,,
ORDER-371184,home,"Compact Capsule Coffee Machine",27.25,7,search,$2,$2,$1,,
ORDER-371185,home,"Compact Kitchen Storage Organizer",95,26,search,$9,$7,$5,,
ORDER-371186,home,"Compact Digital Kitchen Scale",69.9,19,search,$6,$5,$4,,
ORDER-371187,home,"Compact Countertop Blender",13.5,4,search,$1,$1,$1,,
ORDER-371188,home,"Compact Stainless Cookware Set",60,16,search,$5,$4,$3,,
ORDER-371189,home,"Compact Smart Home Diffuser",18.8,5,search,$2,$1,$1,,
ORDER-371190,home,"Compact Cordless Vacuum Cleaner",29,8,search,$3,$2,$2,,
ORDER-371191,home,"Premium Compact Air Fryer",18.81,5,search,$2,$1,$1,,
ORDER-371192,home,"Premium Arabic Coffee Gift Kit",32.43,9,search,$3,$2,$2,,
ORDER-371193,home,"Premium Electric Kettle Set",145.98,40,detail,$13,$10,$8,,
ORDER-371194,home,"Premium Capsule Coffee Machine",55.99,15,search,$5,$4,$3,,
ORDER-371195,home,"Premium Kitchen Storage Organizer",68,19,search,$6,$5,$4,,
ORDER-371196,home,"Premium Digital Kitchen Scale",31.9,9,search,$3,$2,$2,,
ORDER-371197,home,"Premium Countertop Blender",75,20,search,$7,$5,$4,,
ORDER-371198,home,"Premium Stainless Cookware Set",70,19,search,$6,$5,$4,,
ORDER-371199,home,"Premium Smart Home Diffuser",22.86,6,detail,$2,$2,$1,,
ORDER-371200,home,"Premium Cordless Vacuum Cleaner",29.77,8,detail,$3,$2,$2,,
ORDER-371201,home,"Travel Compact Air Fryer",83.72,23,search,$8,$6,$5,,
ORDER-371202,home,"Travel Arabic Coffee Gift Kit",115,31,detail,$10,$8,$6,,
ORDER-371203,home,"Travel Electric Kettle Set",100,27,search,$9,$7,$5,,
ORDER-371204,home,"Travel Capsule Coffee Machine",38.99,11,search,$4,$3,$2,,
ORDER-371205,home,"Travel Kitchen Storage Organizer",59.99,16,search,$5,$4,$3,,
ORDER-371206,home,"Travel Digital Kitchen Scale",68,19,search,$6,$5,$4,,
ORDER-371207,home,"Travel Countertop Blender",79.99,22,search,$7,$6,$4,,
ORDER-371208,home,"Travel Stainless Cookware Set",35.98,10,search,$3,$3,$2,,
ORDER-371209,home,"Travel Smart Home Diffuser",16.6,5,search,$2,$1,$1,,
ORDER-371210,home,"Travel Cordless Vacuum Cleaner",24.79,7,search,$2,$2,$1,,
ORDER-371211,furniture,"Retail LED Decor Light Panel",59.99,16,detail,$5,$4,$3,,
ORDER-371212,furniture,"Retail Foldable Study Desk",49.99,14,detail,$5,$4,$3,,
ORDER-371213,furniture,"Retail Luxury Storage Organizer",84.99,23,detail,$8,$6,$5,,
ORDER-371214,furniture,"Retail 3D LED Wall Clock",36.99,10,search,$3,$3,$2,,
ORDER-371215,furniture,"Retail Velvet Hanger Storage Pack",20.2,6,search,$2,$2,$1,,
ORDER-371216,furniture,"Retail Gaming Chair Cushion Set",36,10,search,$3,$3,$2,,
ORDER-371217,furniture,"Retail Minimal Coffee Table",45.9,12,detail,$4,$3,$2,,
ORDER-371218,furniture,"Retail Decorative Floor Lamp",49.9,14,detail,$5,$4,$3,,
ORDER-371219,furniture,"Retail Under-Sink Organizer Rack",49.98,14,detail,$5,$4,$3,,
ORDER-371220,furniture,"Retail Luxury Cushion Cover Set",31.92,9,search,$3,$2,$2,,
ORDER-371221,furniture,"Pro LED Decor Light Panel",145,39,search,$13,$10,$8,,
ORDER-371222,furniture,"Pro Foldable Study Desk",31.2,8,search,$3,$2,$2,,
ORDER-371223,furniture,"Pro Luxury Storage Organizer",69.9,19,search,$6,$5,$4,,
ORDER-371224,furniture,"Pro 3D LED Wall Clock",24.89,7,search,$2,$2,$1,,
ORDER-371225,furniture,"Pro Velvet Hanger Storage Pack",19.9,5,search,$2,$1,$1,,
ORDER-371226,furniture,"Pro Gaming Chair Cushion Set",35.99,10,search,$3,$3,$2,,
ORDER-371227,furniture,"Pro Minimal Coffee Table",24.6,7,search,$2,$2,$1,,
ORDER-371228,furniture,"Pro Decorative Floor Lamp",69.7,19,search,$6,$5,$4,,
ORDER-371229,furniture,"Pro Under-Sink Organizer Rack",20,5,search,$2,$1,$1,,
ORDER-371230,furniture,"Pro Luxury Cushion Cover Set",29,8,search,$3,$2,$2,,
ORDER-371231,furniture,"Compact LED Decor Light Panel",81.09,22,search,$7,$6,$4,,
ORDER-371232,furniture,"Compact Foldable Study Desk",60,16,search,$5,$4,$3,,
ORDER-371233,furniture,"Compact Luxury Storage Organizer",27.77,8,search,$3,$2,$2,,
ORDER-371234,furniture,"Compact 3D LED Wall Clock",12.95,4,search,$1,$1,$1,,
ORDER-371235,furniture,"Compact Velvet Hanger Storage Pack",19.88,5,search,$2,$1,$1,,
ORDER-371236,furniture,"Compact Gaming Chair Cushion Set",89.96,24,search,$8,$6,$5,,
ORDER-371237,furniture,"Compact Minimal Coffee Table",28.36,8,search,$3,$2,$2,,
ORDER-371238,furniture,"Compact Decorative Floor Lamp",28,8,search,$3,$2,$2,,
ORDER-371239,furniture,"Compact Under-Sink Organizer Rack",29.99,8,search,$3,$2,$2,,
ORDER-371240,furniture,"Compact Luxury Cushion Cover Set",89.99,25,search,$8,$6,$5,,
ORDER-371241,furniture,"Premium LED Decor Light Panel",29.55,8,search,$3,$2,$2,,
ORDER-371242,furniture,"Premium Foldable Study Desk",78,21,search,$7,$5,$4,,
ORDER-371243,furniture,"Premium Luxury Storage Organizer",19.9,5,search,$2,$1,$1,,
ORDER-371244,furniture,"Premium 3D LED Wall Clock",57.99,16,search,$5,$4,$3,,
ORDER-371245,furniture,"Premium Velvet Hanger Storage Pack",21.63,6,search,$2,$2,$1,,
ORDER-371246,furniture,"Premium Gaming Chair Cushion Set",59,16,search,$5,$4,$3,,
ORDER-371247,furniture,"Premium Minimal Coffee Table",38,10,search,$3,$3,$2,,
ORDER-371248,furniture,"Premium Decorative Floor Lamp",27.88,8,search,$3,$2,$2,,
ORDER-371249,furniture,"Premium Under-Sink Organizer Rack",24.62,7,search,$2,$2,$1,,
ORDER-371250,furniture,"Premium Luxury Cushion Cover Set",46.88,13,detail,$4,$3,$3,,
ORDER-371251,furniture,"Travel LED Decor Light Panel",12,3,search,$1,$1,$1,,
ORDER-371252,furniture,"Travel Foldable Study Desk",33,9,search,$3,$2,$2,,
ORDER-371253,furniture,"Travel Luxury Storage Organizer",35.99,10,search,$3,$3,$2,,
ORDER-371254,furniture,"Travel 3D LED Wall Clock",33,8.99,category-median,$3,$2,$2,,
ORDER-371255,furniture,"Travel Velvet Hanger Storage Pack",20.99,6,search,$2,$2,$1,,
ORDER-371256,furniture,"Travel Gaming Chair Cushion Set",13.99,4,search,$1,$1,$1,,
ORDER-371257,furniture,"Travel Minimal Coffee Table",21,6,search,$2,$2,$1,,
ORDER-371258,furniture,"Travel Decorative Floor Lamp",22.3,6,search,$2,$2,$1,,
ORDER-371259,furniture,"Travel Under-Sink Organizer Rack",37.9,10,search,$3,$3,$2,,
ORDER-371260,furniture,"Travel Luxury Cushion Cover Set",39.7,11,search,$4,$3,$2,,
ORDER-371261,auto,"Retail Car Smart Display Kit",36.9,10,detail,$3,$3,$2,,
ORDER-371262,auto,"Retail Car Cooling Seat Pad",36.9,10,detail,$3,$3,$2,,
ORDER-371263,auto,"Retail Premium Car Vacuum Set",38.9,11,detail,$4,$3,$2,,
ORDER-371264,auto,"Retail 4K Dash Camera",35.9,10,detail,$3,$3,$2,,
ORDER-371265,auto,"Retail Magnetic Phone Car Charger",39.9,11,detail,$4,$3,$2,,
ORDER-371266,auto,"Retail Foldable Car Sunshade",55.9,15,detail,$5,$4,$3,,
ORDER-371267,auto,"Retail Portable Tire Inflator",49.9,14,detail,$5,$4,$3,,
ORDER-371268,auto,"Retail Car Trunk Organizer",39.9,11,detail,$4,$3,$2,,
ORDER-371269,auto,"Retail LED Ambient Light Kit",39.9,11,detail,$4,$3,$2,,
ORDER-371270,auto,"Retail Leather Steering Wheel Cover",9.99,3,search,$1,$1,$1,,
ORDER-371271,auto,"Pro Car Smart Display Kit",21,6,search,$2,$2,$1,,
ORDER-371272,auto,"Pro Car Cooling Seat Pad",32.98,9,search,$3,$2,$2,,
ORDER-371273,auto,"Pro Premium Car Vacuum Set",77.99,21,detail,$7,$5,$4,,
ORDER-371274,auto,"Pro 4K Dash Camera",67.99,19,detail,$6,$5,$4,,
ORDER-371275,auto,"Pro Magnetic Phone Car Charger",133.99,36,detail,$12,$9,$7,,
ORDER-371276,auto,"Pro Foldable Car Sunshade",13.99,4,search,$1,$1,$1,,
ORDER-371277,auto,"Pro Portable Tire Inflator",14.25,4,search,$1,$1,$1,,
ORDER-371278,auto,"Pro Car Trunk Organizer",8.8,2,search,$1,$1,$1,,
ORDER-371279,auto,"Pro LED Ambient Light Kit",39.99,11,detail,$4,$3,$2,,
ORDER-371280,auto,"Pro Leather Steering Wheel Cover",10.99,3,search,$1,$1,$1,,
ORDER-371281,auto,"Compact Car Smart Display Kit",8.3,2,search,$1,$1,$1,,
ORDER-371282,auto,"Compact Car Cooling Seat Pad",29.52,8,search,$3,$2,$2,,
ORDER-371283,auto,"Compact Premium Car Vacuum Set",20.9,6,search,$2,$2,$1,,
ORDER-371284,auto,"Compact 4K Dash Camera",7.2,2,search,$1,$1,$1,,
ORDER-371285,auto,"Compact Magnetic Phone Car Charger",66,18,search,$6,$5,$4,,
ORDER-371286,auto,"Compact Foldable Car Sunshade",15.29,4,search,$1,$1,$1,,
ORDER-371287,auto,"Compact Portable Tire Inflator",37,10,search,$3,$3,$2,,
ORDER-371288,auto,"Compact Car Trunk Organizer",39.5,11,search,$4,$3,$2,,
ORDER-371289,auto,"Compact LED Ambient Light Kit",10.28,3,search,$1,$1,$1,,
ORDER-371290,auto,"Compact Leather Steering Wheel Cover",19,5,search,$2,$1,$1,,
ORDER-371291,auto,"Premium Car Smart Display Kit",35.99,10,search,$3,$3,$2,,
ORDER-371292,auto,"Premium Car Cooling Seat Pad",31,8,search,$3,$2,$2,,
ORDER-371293,auto,"Premium Premium Car Vacuum Set",10,3,search,$1,$1,$1,,
ORDER-371294,auto,"Premium 4K Dash Camera",7.51,2,search,$1,$1,$1,,
ORDER-371295,auto,"Premium Magnetic Phone Car Charger",9.9,3,search,$1,$1,$1,,
ORDER-371296,auto,"Premium Foldable Car Sunshade",20,5,search,$2,$1,$1,,
ORDER-371297,auto,"Premium Portable Tire Inflator",49.28,13,search,$4,$3,$3,,
ORDER-371298,auto,"Premium Car Trunk Organizer",9.88,3,search,$1,$1,$1,,
ORDER-371299,auto,"Premium LED Ambient Light Kit",16.9,5,search,$2,$1,$1,,
ORDER-371300,auto,"Premium Leather Steering Wheel Cover",7.18,2,search,$1,$1,$1,,
ORDER-371301,auto,"Travel Car Smart Display Kit",19.89,5,search,$2,$1,$1,,
ORDER-371302,auto,"Travel Car Cooling Seat Pad",11.99,3,search,$1,$1,$1,,
ORDER-371303,auto,"Travel Premium Car Vacuum Set",89.99,25,search,$8,$6,$5,,
ORDER-371304,auto,"Travel 4K Dash Camera",18.54,5,search,$2,$1,$1,,
ORDER-371305,auto,"Travel Magnetic Phone Car Charger",20,5,search,$2,$1,$1,,
