"id","category","title_en","title_ar","title_zh","desc_en","desc_ar","desc_zh","retail","c_supply","b_supply","a_supply","main_image","detail_01","detail_02","detail_03","detail_04"
"ORDER-371027","mobile","Mobile resale product 17","منتج إكسسوارات الهاتف 17","手机配件商品 17","Replace this with polished product copy based on the selected Gulf-market bestseller.","استبدل هذا النص بوصف احترافي للمنتج المناسب لسوق الخليج.","替换为适合海湾市场爆品的正式商品描述。","$99-$199","$75","$65","$55","assets/products/mobile/ORDER-371027/main.webp","assets/products/mobile/ORDER-371027/detail-01.webp","assets/products/mobile/ORDER-371027/detail-02.webp","assets/products/mobile/ORDER-371027/detail-03.webp","assets/products/mobile/ORDER-371027/detail-04.webp"
"ORDER-371028","mobile","Mobile resale product 18","منتج إكسسوارات الهاتف 18","手机配件商品 18","Replace this with polished product copy based on the selected Gulf-market bestseller.","استبدل هذا النص بوصف احترافي للمنتج المناسب لسوق الخليج.","替换为适合海湾市场爆品的正式商品描述。","$99-$199","$75","$65","$55","assets/products/mobile/ORDER-371028/main.webp","assets/products/mobile/ORDER-371028/detail-01.webp","assets/products/mobile/ORDER-371028/detail-02.webp","assets/products/mobile/ORDER-371028/detail-03.webp","assets/products/mobile/ORDER-371028/detail-04.webp"
"ORDER-371029","mobile","Mobile resale product 19","منتج إكسسوارات الهاتف 19","手机配件商品 19","Replace this with polished product copy based on the selected Gulf-market bestseller.","استبدل هذا النص بوصف احترافي للمنتج المناسب لسوق الخليج.","替换为适合海湾市场爆品的正式商品描述。","$99-$199","$75","$65","$55","assets/products/mobile/ORDER-371029/main.webp","assets/products/mobile/ORDER-371029/detail-01.webp","assets/products/mobile/ORDER-371029/detail-02.webp","assets/products/mobile/ORDER-371029/detail-03.webp","assets/products/mobile/ORDER-371029/detail-04.webp"
"ORDER-371030","mobile","Mobile resale product 20","منتج إكسسوارات الهاتف 20","手机配件商品 20","Replace this with polished product copy based on the selected Gulf-market bestseller.","استبدل هذا النص بوصف احترافي للمنتج المناسب لسوق الخليج.","替换为适合海湾市场爆品的正式商品描述。","$99-$199","$75","$65","$55","assets/products/mobile/ORDER-371030/main.webp","assets/products/mobile/ORDER-371030/detail-01.webp","assets/products/mobile/ORDER-371030/detail-02.webp","assets/products/mobile/ORDER-371030/detail-03.webp","assets/products/mobile/ORDER-371030/detail-04.webp"
"ORDER-371031","mobile","Mobile resale product 21","منتج إكسسوارات الهاتف 21","手机配件商品 21","Replace this with polished product copy based on the selected Gulf-market bestseller.","استبدل هذا النص بوصف احترافي للمنتج المناسب لسوق الخليج.","替换为适合海湾市场爆品的正式商品描述。","$99-$199","$75","$65","$55","assets/products/mobile/ORDER-371031/main.webp","assets/products/mobile/ORDER-371031/detail-01.webp","assets/products/mobile/ORDER-371031/detail-02.webp","assets/products/mobile/ORDER-371031/detail-03.webp","assets/products/mobile/ORDER-371031/detail-04.webp"
"ORDER-371032","mobile","Mobile resale product 22","منتج إكسسوارات الهاتف 22","手机配件商品 22","Replace this with polished product copy based on the selected Gulf-market bestseller.","استبدل هذا النص بوصف احترافي للمنتج المناسب لسوق الخليج.","替换为适合海湾市场爆品的正式商品描述。","$99-$199","$75","$65","$55","assets/products/mobile/ORDER-371032/main.webp","assets/products/mobile/ORDER-371032/detail-01.webp","assets/products/mobile/ORDER-371032/detail-02.webp","assets/products/mobile/ORDER-371032/detail-03.webp","assets/products/mobile/ORDER-371032/detail-04.webp"
"ORDER-371033","mobile","Mobile resale product 23","منتج إكسسوارات الهاتف 23","手机配件商品 23","Replace this with polished product copy based on the selected Gulf-market bestseller.","استبدل هذا النص بوصف احترافي للمنتج المناسب لسوق الخليج.","替换为适合海湾市场爆品的正式商品描述。","$99-$199","$75","$65","$55","assets/products/mobile/ORDER-371033/main.webp","assets/products/mobile/ORDER-371033/detail-01.webp","assets/products/mobile/ORDER-371033/detail-02.webp","assets/products/mobile/ORDER-371033/detail-03.webp","assets/products/mobile/ORDER-371033/detail-04.webp"
"ORDER-371034","mobile","Mobile resale product 24","منتج إكسسوارات الهاتف 24","手机配件商品 24","Replace this with polished product copy based on the selected Gulf-market bestseller.","استبدل هذا النص بوصف احترافي للمنتج المناسب لسوق الخليج.","替换为适合海湾市场爆品的正式商品描述。","$99-$199","$75","$65","$55","assets/products/mobile/ORDER-371034/main.webp","assets/products/mobile/ORDER-371034/detail-01.webp","assets/products/mobile/ORDER-371034/detail-02.webp","assets/products/mobile/ORDER-371034/detail-03.webp","assets/products/mobile/ORDER-371034/detail-04.webp"
"ORDER-371035","mobile","Mobile resale product 25","منتج إكسسوارات الهاتف 25","手机配件商品 25","Replace this with polished product copy based on the selected Gulf-market bestseller.","استبدل هذا النص بوصف احترافي للمنتج المناسب لسوق الخليج.","替换为适合海湾市场爆品的正式商品描述。","$99-$199","$75","$65","$55","assets/products/mobile/ORDER-371035/main.webp","assets/products/mobile/ORDER-371035/detail-01.webp","assets/products/mobile/ORDER-371035/detail-02.webp","assets/products/mobile/ORDER-371035/detail-03.webp","assets/products/mobile/ORDER-371035/detail-04.webp"
"ORDER-371036","mobile","Mobile resale product 26","منتج إكسسوارات الهاتف 26","手机配件商品 26","Replace this with polished product copy based on the selected Gulf-market bestseller.","استبدل هذا النص بوصف احترافي للمنتج المناسب لسوق الخليج.","替换为适合海湾市场爆品的正式商品描述。","$99-$199","$75","$65","$55","assets/products/mobile/ORDER-371036/main.webp","assets/products/mobile/ORDER-371036/detail-01.webp","assets/products/mobile/ORDER-371036/detail-02.webp","assets/products/mobile/ORDER-371036/detail-03.webp","assets/products/mobile/ORDER-371036/detail-04.webp"
"ORDER-371037","mobile","Mobile resale product 27","منتج إكسسوارات الهاتف 27","手机配件商品 27","Replace this with polished product copy based on the selected Gulf-market bestseller.","استبدل هذا النص بوصف احترافي للمنتج المناسب لسوق الخليج.","替换为适合海湾市场爆品的正式商品描述。","$99-$199","$75","$65","$55","assets/products/mobile/ORDER-371037/main.webp","assets/products/mobile/ORDER-371037/detail-01.webp","assets/products/mobile/ORDER-371037/detail-02.webp","assets/products/mobile/ORDER-371037/detail-03.webp","assets/products/mobile/ORDER-371037/detail-04.webp"
"ORDER-371038","mobile","Mobile resale product 28","منتج إكسسوارات الهاتف 28","手机配件商品 28","Replace this with polished product copy based on the selected Gulf-market bestseller.","استبدل هذا النص بوصف احترافي للمنتج المناسب لسوق الخليج.","替换为适合海湾市场爆品的正式商品描述。","$99-$199","$75","$65","$55","assets/products/mobile/ORDER-371038/main.webp","assets/products/mobile/ORDER-371038/detail-01.webp","assets/products/mobile/ORDER-371038/detail-02.webp","assets/products/mobile/ORDER-371038/detail-03.webp","assets/products/mobile/ORDER-371038/detail-04.webp"
"ORDER-371039","mobile","Mobile resale product 29","منتج إكسسوارات الهاتف 29","手机配件商品 29","Replace this with polished product copy based on the selected Gulf-market bestseller.","استبدل هذا النص بوصف احترافي للمنتج المناسب لسوق الخليج.","替换为适合海湾市场爆品的正式商品描述。","$99-$199","$75","$65","$55","assets/products/mobile/ORDER-371039/main.webp","assets/products/mobile/ORDER-371039/detail-01.webp","assets/products/mobile/ORDER-371039/detail-02.webp","assets/products/mobile/ORDER-371039/detail-03.webp","assets/products/mobile/ORDER-371039/detail-04.webp"
"ORDER-371040","mobile","Mobile resale product 30","منتج إكسسوارات الهاتف 30","手机配件商品 30","Replace this with polished product copy based on the selected Gulf-market bestseller.","استبدل هذا النص بوصف احترافي للمنتج المناسب لسوق الخليج.","替换为适合海湾市场爆品的正式商品描述。","$99-$199","$75","$65","$55","assets/products/mobile/ORDER-371040/main.webp","assets/products/mobile/ORDER-371040/detail-01.webp","assets/products/mobile/ORDER-371040/detail-02.webp","assets/products/mobile/ORDER-371040/detail-03.webp","assets/products/mobile/ORDER-371040/detail-04.webp"
"ORDER-371041","mobile","Mobile resale product 31","منتج إكسسوارات الهاتف 31","手机配件商品 31","Replace this with polished product copy based on the selected Gulf-market bestseller.","استبدل هذا النص بوصف احترافي للمنتج المناسب لسوق الخليج.","替换为适合海湾市场爆品的正式商品描述。","$99-$199","$75","$65","$55","assets/products/mobile/ORDER-371041/main.webp","assets/products/mobile/ORDER-371041/detail-01.webp","assets/products/mobile/ORDER-371041/detail-02.webp","assets/products/mobile/ORDER-371041/detail-03.webp","assets/products/mobile/ORDER-371041/detail-04.webp"
"ORDER-371042","mobile","Mobile resale product 32","منتج إكسسوارات الهاتف 32","手机配件商品 32","Replace this with polished product copy based on the selected Gulf-market bestseller.","استبدل هذا النص بوصف احترافي للمنتج المناسب لسوق الخليج.","替换为适合海湾市场爆品的正式商品描述。","$99-$199","$75","$65","$55","assets/products/mobile/ORDER-371042/main.webp","assets/products/mobile/ORDER-371042/detail-01.webp","assets/products/mobile/ORDER-371042/detail-02.webp","assets/products/mobile/ORDER-371042/detail-03.webp","assets/products/mobile/ORDER-371042/detail-04.webp"
"ORDER-371043","mobile","Mobile resale product 33","منتج إكسسوارات الهاتف 33","手机配件商品 33","Replace this with polished product copy based on the selected Gulf-market bestseller.","استبدل هذا النص بوصف احترافي للمنتج المناسب لسوق الخليج.","替换为适合海湾市场爆品的正式商品描述。","$99-$199","$75","$65","$55","assets/products/mobile/ORDER-371043/main.webp","assets/products/mobile/ORDER-371043/detail-01.webp","assets/products/mobile/ORDER-371043/detail-02.webp","assets/products/mobile/ORDER-371043/detail-03.webp","assets/products/mobile/ORDER-371043/detail-04.webp"
"ORDER-371044","mobile","Mobile resale product 34","منتج إكسسوارات الهاتف 34","手机配件商品 34","Replace this with polished product copy based on the selected Gulf-market bestseller.","استبدل هذا النص بوصف احترافي للمنتج المناسب لسوق الخليج.","替换为适合海湾市场爆品的正式商品描述。","$99-$199","$75","$65","$55","assets/products/mobile/ORDER-371044/main.webp","assets/products/mobile/ORDER-371044/detail-01.webp","assets/products/mobile/ORDER-371044/detail-02.webp","assets/products/mobile/ORDER-371044/detail-03.webp","assets/products/mobile/ORDER-371044/detail-04.webp"
"ORDER-371045","mobile","Mobile resale product 35","منتج إكسسوارات الهاتف 35","手机配件商品 35","Replace this with polished product copy based on the selected Gulf-market bestseller.","استبدل هذا النص بوصف احترافي للمنتج المناسب لسوق الخليج.","替换为适合海湾市场爆品的正式商品描述。","$99-$199","$75","$65","$55","assets/products/mobile/ORDER-371045/main.webp","assets/products/mobile/ORDER-371045/detail-01.webp","assets/products/mobile/ORDER-371045/detail-02.webp","assets/products/mobile/ORDER-371045/detail-03.webp","assets/products/mobile/ORDER-371045/detail-04.webp"
"ORDER-371046","mobile","Mobile resale product 36","منتج إكسسوارات الهاتف 36","手机配件商品 36","Replace this with polished product copy based on the selected Gulf-market bestseller.","استبدل هذا النص بوصف احترافي للمنتج المناسب لسوق الخليج.","替换为适合海湾市场爆品的正式商品描述。","$99-$199","$75","$65","$55","assets/products/mobile/ORDER-371046/main.webp","assets/products/mobile/ORDER-371046/detail-01.webp","assets/products/mobile/ORDER-371046/detail-02.webp","assets/products/mobile/ORDER-371046/detail-03.webp","assets/products/mobile/ORDER-371046/detail-04.webp"
"ORDER-371047","mobile","Mobile resale product 37","منتج إكسسوارات الهاتف 37","手机配件商品 37","Replace this with polished product copy based on the selected Gulf-market bestseller.","استبدل هذا النص بوصف احترافي للمنتج المناسب لسوق الخليج.","替换为适合海湾市场爆品的正式商品描述。","$99-$199","$75","$65","$55","assets/products/mobile/ORDER-371047/main.webp","assets/products/mobile/ORDER-371047/detail-01.webp","assets/products/mobile/ORDER-371047/detail-02.webp","assets/products/mobile/ORDER-371047/detail-03.webp","assets/products/mobile/ORDER-371047/detail-04.webp"
"ORDER-371048","mobile","Mobile resale product 38","منتج إكسسوارات الهاتف 38","手机配件商品 38","Replace this with polished product copy based on the selected Gulf-market bestseller.","استبدل هذا النص بوصف احترافي للمنتج المناسب لسوق الخليج.","替换为适合海湾市场爆品的正式商品描述。","$99-$199","$75","$65","$55","assets/products/mobile/ORDER-371048/main.webp","assets/products/mobile/ORDER-371048/detail-01.webp","assets/products/mobile/ORDER-371048/detail-02.webp","assets/products/mobile/ORDER-371048/detail-03.webp","assets/products/mobile/ORDER-371048/detail-04.webp"
"ORDER-371049","mobile","Mobile resale product 39","منتج إكسسوارات الهاتف 39","手机配件商品 39","Replace this with polished product copy based on the selected Gulf-market bestseller.","استبدل هذا النص بوصف احترافي للمنتج المناسب لسوق الخليج.","替换为适合海湾市场爆品的正式商品描述。","$99-$199","$75","$65","$55","assets/products/mobile/ORDER-371049/main.webp","assets/products/mobile/ORDER-371049/detail-01.webp","assets/products/mobile/ORDER-371049/detail-02.webp","assets/products/mobile/ORDER-371049/detail-03.webp","assets/products/mobile/ORDER-371049/detail-04.webp"
"ORDER-371050","mobile","Mobile resale product 40","منتج إكسسوارات الهاتف 40","手机配件商品 40","Replace this with polished product copy based on the selected Gulf-market bestseller.","استبدل هذا النص بوصف احترافي للمنتج المناسب لسوق الخليج.","替换为适合海湾市场爆品的正式商品描述。","$99-$199","$75","$65","$55","assets/products/mobile/ORDER-371050/main.webp","assets/products/mobile/ORDER-371050/detail-01.webp","assets/products/mobile/ORDER-371050/detail-02.webp","assets/products/mobile/ORDER-371050/detail-03.webp","assets/products/mobile/ORDER-371050/detail-04.webp"
"ORDER-371051","mobile","Mobile resale product 41","منتج إكسسوارات الهاتف 41","手机配件商品 41","Replace this with polished product copy based on the selected Gulf-market bestseller.","استبدل هذا النص بوصف احترافي للمنتج المناسب لسوق الخليج.","替换为适合海湾市场爆品的正式商品描述。","$99-$199","$75","$65","$55","assets/products/mobile/ORDER-371051/main.webp","assets/products/mobile/ORDER-371051/detail-01.webp","assets/products/mobile/ORDER-371051/detail-02.webp","assets/products/mobile/ORDER-371051/detail-03.webp","assets/products/mobile/ORDER-371051/detail-04.webp"
"ORDER-371052","mobile","Mobile resale product 42","منتج إكسسوارات الهاتف 42","手机配件商品 42","Replace this with polished product copy based on the selected Gulf-market bestseller.","استبدل هذا النص بوصف احترافي للمنتج المناسب لسوق الخليج.","替换为适合海湾市场爆品的正式商品描述。","$99-$199","$75","$65","$55","assets/products/mobile/ORDER-371052/main.webp","assets/products/mobile/ORDER-371052/detail-01.webp","assets/products/mobile/ORDER-371052/detail-02.webp","assets/products/mobile/ORDER-371052/detail-03.webp","assets/products/mobile/ORDER-371052/detail-04.webp"
"ORDER-371053","mobile","Mobile resale product 43","منتج إكسسوارات الهاتف 43","手机配件商品 43","Replace this with polished product copy based on the selected Gulf-market bestseller.","استبدل هذا النص بوصف احترافي للمنتج المناسب لسوق الخليج.","替换为适合海湾市场爆品的正式商品描述。","$99-$199","$75","$65","$55","assets/products/mobile/ORDER-371053/main.webp","assets/products/mobile/ORDER-371053/detail-01.webp","assets/products/mobile/ORDER-371053/detail-02.webp","assets/products/mobile/ORDER-371053/detail-03.webp","assets/products/mobile/ORDER-371053/detail-04.webp"
"ORDER-371054","mobile","Mobile resale product 44","منتج إكسسوارات الهاتف 44","手机配件商品 44","Replace this with polished product copy based on the selected Gulf-market bestseller.","استبدل هذا النص بوصف احترافي للمنتج المناسب لسوق الخليج.","替换为适合海湾市场爆品的正式商品描述。","$99-$199","$75","$65","$55","assets/products/mobile/ORDER-371054/main.webp","assets/products/mobile/ORDER-371054/detail-01.webp","assets/products/mobile/ORDER-371054/detail-02.webp","assets/products/mobile/ORDER-371054/detail-03.webp","assets/products/mobile/ORDER-371054/detail-04.webp"
"ORDER-371055","mobile","Mobile resale product 45","منتج إكسسوارات الهاتف 45","手机配件商品 45","Replace this with polished product copy based on the selected Gulf-market bestseller.","استبدل هذا النص بوصف احترافي للمنتج المناسب لسوق الخليج.","替换为适合海湾市场爆品的正式商品描述。","$99-$199","$75","$65","$55","assets/products/mobile/ORDER-371055/main.webp","assets/products/mobile/ORDER-371055/detail-01.webp","assets/products/mobile/ORDER-371055/detail-02.webp","assets/products/mobile/ORDER-371055/detail-03.webp","assets/products/mobile/ORDER-371055/detail-04.webp"
"ORDER-371056","mobile","Mobile resale product 46","منتج إكسسوارات الهاتف 46","手机配件商品 46","Replace this with polished product copy based on the selected Gulf-market bestseller.","استبدل هذا النص بوصف احترافي للمنتج المناسب لسوق الخليج.","替换为适合海湾市场爆品的正式商品描述。","$99-$199","$75","$65","$55","assets/products/mobile/ORDER-371056/main.webp","assets/products/mobile/ORDER-371056/detail-01.webp","assets/products/mobile/ORDER-371056/detail-02.webp","assets/products/mobile/ORDER-371056/detail-03.webp","assets/products/mobile/ORDER-371056/detail-04.webp"
"ORDER-371057","mobile","Mobile resale product 47","منتج إكسسوارات الهاتف 47","手机配件商品 47","Replace this with polished product copy based on the selected Gulf-market bestseller.","استبدل هذا النص بوصف احترافي للمنتج المناسب لسوق الخليج.","替换为适合海湾市场爆品的正式商品描述。","$99-$199","$75","$65","$55","assets/products/mobile/ORDER-371057/main.webp","assets/products/mobile/ORDER-371057/detail-01.webp","assets/products/mobile/ORDER-371057/detail-02.webp","assets/products/mobile/ORDER-371057/detail-03.webp","assets/products/mobile/ORDER-371057/detail-04.webp"
"ORDER-371058","mobile","Mobile resale product 48","منتج إكسسوارات الهاتف 48","手机配件商品 48","Replace this with polished product copy based on the selected Gulf-market bestseller.","استبدل هذا النص بوصف احترافي للمنتج المناسب لسوق الخليج.","替换为适合海湾市场爆品的正式商品描述。","$99-$199","$75","$65","$55","assets/products/mobile/ORDER-371058/main.webp","assets/products/mobile/ORDER-371058/detail-01.webp","assets/products/mobile/ORDER-371058/detail-02.webp","assets/products/mobile/ORDER-371058/detail-03.webp","assets/products/mobile/ORDER-371058/detail-04.webp"
"ORDER-371059","mobile","Mobile resale product 49","منتج إكسسوارات الهاتف 49","手机配件商品 49","Replace this with polished product copy based on the selected Gulf-market bestseller.","استبدل هذا النص بوصف احترافي للمنتج المناسب لسوق الخليج.","替换为适合海湾市场爆品的正式商品描述。","$99-$199","$75","$65","$55","assets/products/mobile/ORDER-371059/main.webp","assets/products/mobile/ORDER-371059/detail-01.webp","assets/products/mobile/ORDER-371059/detail-02.webp","assets/products/mobile/ORDER-371059/detail-03.webp","assets/products/mobile/ORDER-371059/detail-04.webp"
"ORDER-371060","mobile","Mobile resale product 50","منتج إكسسوارات الهاتف 50","手机配件商品 50","Replace this with polished product copy based on the selected Gulf-market bestseller.","استبدل هذا النص بوصف احترافي للمنتج المناسب لسوق الخليج.","替换为适合海湾市场爆品的正式商品描述。","$99-$199","$75","$65","$55","assets/products/mobile/ORDER-371060/main.webp","assets/products/mobile/ORDER-371060/detail-01.webp","assets/products/mobile/ORDER-371060/detail-02.webp","assets/products/mobile/ORDER-371060/detail-03.webp","assets/products/mobile/ORDER-371060/detail-04.webp"
